link,nationality,minutes,type_agent,pond_min
/max-clark/profil/spieler/183291,England,0,Medium,0.0
/sergio-postigo/profil/spieler/158791,Spain,0,Small,0.0
/stanislav-iljutcenko/profil/spieler/191292,Russia,0,Medium,0.0
/ivan-marcone/profil/spieler/90451,Argentina,0,Small,0.0
/florent-mollet/profil/spieler/222859,France,0,No agent,0.0
/juanpe/profil/spieler/115333,Spain,0,Small,0.0
/alban-lafont/profil/spieler/357117,France,0,Relatives,0.0
/bruno-viana/profil/spieler/411838,Brazil,0,No agent,0.0
/emil-audero/profil/spieler/256339,Italy,836,Medium,49.17647058823529
/christian-gentner/profil/spieler/19112,Germany,324,Small,24.923076923076923
/jordan-archer/profil/spieler/177952,Scotland,90,Medium,2.1951219512195124
/afonso-figueiredo/profil/spieler/237000,Portugal,30,Medium,4.285714285714286
/everton-luiz/profil/spieler/75076,Brazil,0,Small,0.0
/trent-alexander-arnold/profil/spieler/314353,England,316,Small,79.0
/dominique-badji/profil/spieler/354840,Senegal,0,No agent,0.0
/shkodran-mustafi/profil/spieler/88590,Germany,1431,Small,110.07692307692308
/lazar-rosic/profil/spieler/198053,Serbia,0,No agent,0.0
/matheus-cunha/profil/spieler/517894,Brazil,0,No agent,0.0
/orji-okwonkwo/profil/spieler/401935,Nigeria,0,Small,0.0
/gwion-edwards/profil/spieler/192766,Wales,0,Big,0.0
/abdullah-durak/profil/spieler/82713,Turkey,161,Small,4.128205128205128
/ricardo-ryller/profil/spieler/349443,Brazil,0,Small,0.0
/elson-hooi/profil/spieler/229228,Curacao,0,Small,0.0
/evgeni-chernov/profil/spieler/187024,Russia,0,Medium,0.0
/warner-hahn/profil/spieler/111180,Netherlands,1078,Small,67.375
/alex-blanco/profil/spieler/328914,Spain,0,Medium,0.0
/julian-gressel/profil/spieler/229640,Germany,0,Big,0.0
/domenico-criscito/profil/spieler/44136,Italy,1717,Small,101.0
/alexander-milosevic/profil/spieler/171376,Sweden,490,Small,35.0
/jordan-lefort/profil/spieler/192492,France,0,No agent,0.0
/fernando-zampedri/profil/spieler/104006,Argentina,0,Small,0.0
/deklan-wynne/profil/spieler/298228,New Zealand,1176,Big,9.71900826446281
/jordan-henderson/profil/spieler/61651,England,3382,No agent,845.5
/kamil-zakirov/profil/spieler/494353,Russia,0,Small,0.0
/niko-giesselmann/profil/spieler/72792,Germany,0,Small,0.0
/thomas-roberts/profil/spieler/513967,United States,0,Medium,0.0
/jan-zamburek/profil/spieler/487924,Czech Republic,0,No agent,0.0
/robin-bormuth/profil/spieler/283286,Germany,0,Small,0.0
/jordan-torunarigha/profil/spieler/227110,Germany,242,Big,18.615384615384617
/mile-jedinak/profil/spieler/28336,Australia,5641,Small,134.3095238095238
/tyrone-mings/profil/spieler/253677,England,0,Medium,0.0
/john-mcginn/profil/spieler/193116,Scotland,799,No agent,19.48780487804878
/diogo-jota/profil/spieler/340950,Portugal,0,Big,0.0
/omir-fernandez/profil/spieler/467271,United States,0,No agent,0.0
/gonzalo-escalante/profil/spieler/266795,Argentina,0,No agent,0.0
/nicolas-blandi/profil/spieler/153022,Argentina,0,Small,0.0
/danny-bakker/profil/spieler/250440,Netherlands,250,Medium,15.625
/charles/profil/spieler/154059,Brazil,0,Small,0.0
/leandro-fernandez/profil/spieler/131840,Argentina,0,No agent,0.0
/igor-akinfeev/profil/spieler/15570,Russia,9649,No agent,209.76086956521738
/andre-shinyashiki/profil/spieler/636331,Brazil,0,Medium,0.0
/jake-cooper/profil/spieler/243603,England,90,No agent,22.5
/neymar/profil/spieler/68290,Brazil,8022,Relatives,2674.0
/pierre-emerick-aubameyang/profil/spieler/58864,Gabon,4028,Relatives,44.26373626373627
/serdar-dursun/profil/spieler/80059,Germany,0,Small,0.0
/valon-behrami/profil/spieler/21905,Switzerland,5835,Small,729.375
/cristian-herrera/profil/spieler/237617,Spain,0,Small,0.0
/kalindi/profil/spieler/379377,Brazil,0,Medium,0.0
/lorenzo-tonelli/profil/spieler/111347,Italy,0,Small,0.0
/enzo-zidane/profil/spieler/106825,France,0,No agent,0.0
/kevin-trapp/profil/spieler/45672,Germany,270,No agent,20.76923076923077
/serhou-guirassy/profil/spieler/270541,France,414,Relatives,207.0
/kerem-demirbay/profil/spieler/125858,Germany,91,Big,7.0
/bulent-cevahir/profil/spieler/147518,Turkey,239,Medium,6.128205128205128
/juan-aguilera/profil/spieler/75820,Spain,0,Medium,0.0
/josete/profil/spieler/77037,Spain,0,Medium,0.0
/moreno-rutten/profil/spieler/187296,Netherlands,0,Small,0.0
/jeff-attinella/profil/spieler/179323,United States,0,No agent,0.0
/ozan-kabak/profil/spieler/361260,Turkey,0,Small,0.0
/laszlo-benes/profil/spieler/243188,Slovakia,1,Medium,0.03125
/ishak-belfodil/profil/spieler/111039,Algeria,670,Relatives,9.43661971830986
/mauro-cerqueira/profil/spieler/352847,Portugal,0,Small,0.0
/mario-rui/profil/spieler/87884,Portugal,523,Small,74.71428571428571
/terence-kongolo/profil/spieler/152651,Netherlands,160,Medium,10.0
/pavel-yakovlev/profil/spieler/63170,Russia,0,Medium,0.0
/nicola-sansone/profil/spieler/82048,Italy,49,Medium,2.8823529411764706
/marc-cucurella/profil/spieler/284857,Spain,415,Medium,46.11111111111111
/jan-ingwer-callsen-bracker/profil/spieler/3851,Germany,224,Small,17.230769230769234
/clement-lenglet/profil/spieler/182904,France,0,Medium,0.0
