name,position,height,weight,team,pos_def,pref_side,sides
Max Clark,Defender (Left),180.0,73.0,Vitesse,Defender,Left,1
Sergio Postigo,Defender (Centre),184.0,78.0,Levante,Defender,Centre,1
Stanislav Iljutcenko,Forward,189.0,82.0,Duisburg,Forward,None,1
Iván Marcone,Defensive Midfielder (C),184.0,79.0,Boca Juniors,Defensive Midfielder,None,1
Florent Mollet,"Attacking Midfielder (Centre, Left)",174.0,67.0,Montpellier,Midfielder,Centre,2
Juanpe,Defender (Centre),190.0,80.0,Girona,Defender,Centre,1
Alban Lafont,Goalkeeper,193.0,82.0,Fiorentina,Goalkeeper,None,1
Bruno Viana,Defender (Centre),187.0,75.0,Braga,Defender,Centre,1
Emil Audero,Goalkeeper,190.0,83.0,Sampdoria,Goalkeeper,None,1
Christian Gentner,"Midfielder (Centre, Left, Right)",189.0,81.0,VfB Stuttgart,Midfielder,Centre,3
Jordan Archer,Goalkeeper,186.0,80.0,Millwall,Goalkeeper,None,1
Afonso Figueiredo,Defender (Left),169.0,63.0,Rio Ave,Defender,Left,1
Everton Luiz,Defensive Midfielder (C),173.0,70.0,Real Salt Lake,Defensive Midfielder,None,1
Trent Alexander-Arnold,Defender (Right),175.0,69.0,Liverpool,Defender,Right,1
Dominique Badji,"Attacking Midfielder (Left, Right)",183.0,77.0,FC Dallas,Midfielder,Left,2
Shkodran Mustafi,"Defender (Centre, Right)",184.0,82.0,Arsenal,Defender,Centre,2
Lazar Rosic,Defender (Centre),190.0,82.0,Nacional,Defender,Centre,1
Matheus Cunha,Forward,184.0,75.0,RasenBallsport Leipzig,Forward,None,1
Orji Okwonkwo,Attacking Midfielder (Right),176.0,73.0,Montreal Impact,Midfielder,Right,1
Gwion Edwards,Attacking Midfielder (Right),175.0,76.0,Ipswich,Midfielder,Right,1
Abdullah Durak,Defensive Midfielder (C),181.0,80.0,Rizespor,Defensive Midfielder,None,1
Ricardo Ryller,Midfielder,176.0,73.0,Braga,Midfielder,None,1
Elson Hooi,"Attacking Midfielder (Left, Right)",169.0,61.0,ADO Den Haag,Midfielder,Left,2
Evgeni Chernov,Defender (Left),180.0,67.0,FC Rostov,Defender,Left,1
Warner Hahn,Goalkeeper,190.0,88.0,SC Heerenveen,Goalkeeper,None,1
Álex Blanco,Forward,178.0,70.0,Deportivo Alaves,Forward,None,1
Julian Gressel,"Midfielder (Centre, Right)",185.0,95.0,Atlanta United,Midfielder,Centre,2
Domenico Criscito,"Defender (Centre, Left)",183.0,75.0,Genoa,Defender,Centre,2
Alexander Milosevic,Defender (Centre),192.0,82.0,Nottingham Forest,Defender,Centre,1
Jordan Lefort,"Defender (Centre, Left)",184.0,83.0,Amiens,Defender,Centre,2
Fernando Zampedri,Forward,185.0,83.0,Rosario Central,Forward,None,1
Deklan Wynne,Defender (Centre),178.0,75.0,Colorado Rapids,Defender,Centre,1
Jordan Henderson,"Midfielder (Centre, Left, Right)",182.0,67.0,Liverpool,Midfielder,Centre,3
Kamil Zakirov,Midfielder (Centre),174.0,65.0,Anzhi Makhachkala,Midfielder,Centre,1
Niko Gießelmann,"Defender (Centre, Left)",182.0,75.0,Fortuna Duesseldorf,Defender,Centre,2
Thomas Roberts,Midfielder,180.0,66.0,FC Dallas,Midfielder,None,1
Jan Zamburek,Midfielder,176.82833333333335,72.9825,Brentford,Midfielder,None,1
Robin Bormuth,Defender (Centre),190.0,87.0,Fortuna Duesseldorf,Defender,Centre,1
Jordan Torunarigha,Defender (Centre),191.0,80.0,Hertha Berlin,Defender,Centre,1
Mile Jedinak,Defender (Centre),189.0,81.0,Aston Villa,Defender,Centre,1
Tyrone Mings,"Defender (Centre, Left)",191.0,77.0,Aston Villa,Defender,Centre,2
John McGinn,Midfielder (Centre),173.0,68.0,Aston Villa,Midfielder,Centre,1
Diogo Jota,"Attacking Midfielder (Centre, Left)",178.0,70.0,Wolverhampton Wanderers,Midfielder,Centre,2
Omir Fernandez,Midfielder,170.0,64.0,New York Red Bulls,Midfielder,None,1
Gonzalo Escalante,Defensive Midfielder (C),182.0,76.0,Eibar,Defensive Midfielder,None,1
Nicolás Blandi,Forward,181.0,78.0,San Lorenzo,Forward,None,1
Danny Bakker,Defender (Centre),178.0,70.0,ADO Den Haag,Defender,Centre,1
Charles,Forward,179.0,76.0,Eibar,Forward,None,1
Leandro Fernández,"Attacking Midfielder (Left, Right)",178.0,70.0,Velez Sarsfield,Midfielder,Left,2
Igor Akinfeev,Goalkeeper,186.0,78.0,CSKA Moscow,Goalkeeper,None,1
Andre Shinyashiki,Forward,176.0,69.0,Colorado Rapids,Forward,None,1
Jake Cooper,Defender (Centre),193.0,85.0,Millwall,Defender,Centre,1
Neymar,"Attacking Midfielder (Centre, Left, Right)",175.0,68.0,Paris Saint-Germain,Midfielder,Centre,3
Pierre-Emerick Aubameyang,"Midfielder (Left, Right)",187.0,80.0,Arsenal,Midfielder,Left,2
Serdar Dursun,Forward,190.0,80.0,Darmstadt,Forward,None,1
Valon Behrami,Midfielder (Centre),185.0,78.0,Udinese,Midfielder,Centre,1
Cristian Herrera,Forward,181.0,76.0,Lugo,Forward,None,1
Kalindi,Defender (Right),170.0,62.0,Nacional,Defender,Right,1
Lorenzo Tonelli,Defender (Centre),183.0,78.0,Sampdoria,Defender,Centre,1
Enzo Zidane,Midfielder,184.0,80.0,Rayo Majadahonda,Midfielder,None,1
Kevin Trapp,Goalkeeper,189.0,88.0,Eintracht Frankfurt,Goalkeeper,None,1
Serhou Guirassy,Attacking Midfielder (Left),187.0,82.0,Amiens,Midfielder,Left,1
Kerem Demirbay,Attacking Midfielder (Centre),182.0,72.0,Hoffenheim,Midfielder,Centre,1
Bulent Cevahir,Defender (Left),176.0,72.0,Yeni Malatyaspor,Defender,Left,1
Juan Aguilera,Midfielder,185.0,76.0,SD Huesca,Midfielder,None,1
Josete,Midfielder,179.0,79.0,Lugo,Midfielder,None,1
Moreno Rutten,Defender (Right),177.0,69.0,VVV-Venlo,Defender,Right,1
Jeff Attinella,Goalkeeper,188.0,87.0,Portland Timbers,Goalkeeper,None,1
Ozan Kabak,Defender (Centre),186.0,79.0,VfB Stuttgart,Defender,Centre,1
László Bénes,Midfielder (Centre),181.0,72.0,Holstein Kiel,Midfielder,Centre,1
Ishak Belfodil,"Attacking Midfielder (Left, Right)",192.0,86.0,Hoffenheim,Midfielder,Left,2
Mauro Cerqueira,Defender (Left),181.0,74.0,Nacional,Defender,Left,1
Mário Rui,Defender (Left),170.0,67.0,Napoli,Defender,Left,1
Terence Kongolo,"Defender (Centre, Left)",188.0,70.0,Huddersfield,Defender,Centre,2
Pavel Yakovlev,Defender (Right),180.0,72.0,Krylya Sovetov Samara,Defender,Right,1
Nicola Sansone,"Attacking Midfielder (Left, Right)",175.0,68.0,Bologna,Midfielder,Left,2
Marc Cucurella,Midfielder (Left),175.0,67.0,Eibar,Midfielder,Left,1
Jan-Ingwer Callsen-Bracker,Defender (Centre),188.0,84.0,Augsburg,Defender,Centre,1
Clément Lenglet,Defender (Centre),186.0,81.0,Barcelona,Defender,Centre,1
Jonathan de Guzmán,"Midfielder (Centre, Left, Right)",173.0,70.0,Eintracht Frankfurt,Midfielder,Centre,3
Darío Benedetto,Forward,175.0,75.0,Boca Juniors,Forward,None,1
