link,age_group,days_miss,games_miss,miss_days_per_y
/max-clark/profil/spieler/183291,21-23,143.0,18.0,20.428571428571427
/sergio-postigo/profil/spieler/158791,27-30,89.0,13.0,6.357142857142857
/stanislav-iljutcenko/profil/spieler/191292,27-30,3.0,0.0,0.25
/ivan-marcone/profil/spieler/90451,27-30,183.0,26.0,15.25
/florent-mollet/profil/spieler/222859,27-30,183.0,26.0,16.636363636363637
/juanpe/profil/spieler/115333,27-30,180.0,22.0,15.0
/alban-lafont/profil/spieler/357117,Sub_20,16.0,2.0,4.0
/bruno-viana/profil/spieler/411838,24-26,174.0,23.0,21.75
/emil-audero/profil/spieler/256339,21-23,143.0,18.0,23.833333333333332
/christian-gentner/profil/spieler/19112,31-34,217.0,37.0,12.764705882352942
/jordan-archer/profil/spieler/177952,24-26,174.0,23.0,17.4
/afonso-figueiredo/profil/spieler/237000,24-26,174.0,23.0,17.4
/everton-luiz/profil/spieler/75076,27-30,53.0,7.0,3.7857142857142856
/trent-alexander-arnold/profil/spieler/314353,Sub_20,26.0,5.0,6.5
/dominique-badji/profil/spieler/354840,24-26,36.0,5.0,3.6
/shkodran-mustafi/profil/spieler/88590,27-30,230.0,42.0,20.90909090909091
/lazar-rosic/profil/spieler/198053,24-26,285.0,41.0,31.666666666666668
/matheus-cunha/profil/spieler/517894,Sub_20,73.0,8.0,24.333333333333332
/orji-okwonkwo/profil/spieler/401935,21-23,25.0,5.0,5.0
/gwion-edwards/profil/spieler/192766,24-26,174.0,23.0,17.4
/abdullah-durak/profil/spieler/82713,31-34,117.0,18.0,7.3125
/ricardo-ryller/profil/spieler/349443,24-26,174.0,23.0,19.333333333333332
/elson-hooi/profil/spieler/229228,27-30,74.0,11.0,6.7272727272727275
/evgeni-chernov/profil/spieler/187024,24-26,174.0,23.0,17.4
/warner-hahn/profil/spieler/111180,24-26,597.0,76.0,59.7
/alex-blanco/profil/spieler/328914,Sub_20,73.0,8.0,18.25
/julian-gressel/profil/spieler/229640,24-26,3.0,1.0,0.3333333333333333
/domenico-criscito/profil/spieler/44136,31-34,211.0,39.0,13.1875
/alexander-milosevic/profil/spieler/171376,27-30,279.0,37.0,25.363636363636363
/jordan-lefort/profil/spieler/192492,24-26,174.0,23.0,19.333333333333332
/fernando-zampedri/profil/spieler/104006,31-34,220.0,31.0,14.666666666666666
/deklan-wynne/profil/spieler/298228,24-26,174.0,23.0,21.75
/jordan-henderson/profil/spieler/61651,27-30,473.0,82.0,39.416666666666664
/kamil-zakirov/profil/spieler/494353,Sub_20,73.0,8.0,18.25
/niko-giesselmann/profil/spieler/72792,27-30,44.0,8.0,4.0
/thomas-roberts/profil/spieler/513967,Sub_20,26.0,4.0,13.0
/jan-zamburek/profil/spieler/487924,Sub_20,73.0,8.0,36.5
/robin-bormuth/profil/spieler/283286,21-23,143.0,18.0,20.428571428571427
/jordan-torunarigha/profil/spieler/227110,21-23,137.0,15.0,27.4
/mile-jedinak/profil/spieler/28336,31-34,30.0,5.0,1.6666666666666667
/tyrone-mings/profil/spieler/253677,24-26,608.0,81.0,60.8
/john-mcginn/profil/spieler/193116,24-26,123.0,16.0,15.375
/diogo-jota/profil/spieler/340950,21-23,46.0,8.0,7.666666666666667
/omir-fernandez/profil/spieler/467271,Sub_20,73.0,8.0,18.25
/gonzalo-escalante/profil/spieler/266795,24-26,54.0,6.0,5.4
/nicolas-blandi/profil/spieler/153022,27-30,183.0,26.0,14.076923076923077
/danny-bakker/profil/spieler/250440,24-26,289.0,27.0,36.125
/charles/profil/spieler/154059,Plus_35,181.0,23.0,9.526315789473685
/leandro-fernandez/profil/spieler/131840,27-30,245.0,25.0,20.416666666666668
/igor-akinfeev/profil/spieler/15570,31-34,418.0,52.0,24.58823529411765
/andre-shinyashiki/profil/spieler/636331,21-23,143.0,18.0,20.428571428571427
/jake-cooper/profil/spieler/243603,24-26,174.0,23.0,21.75
/neymar/profil/spieler/68290,27-30,269.0,52.0,24.454545454545453
/pierre-emerick-aubameyang/profil/spieler/58864,27-30,32.0,9.0,2.4615384615384617
/serdar-dursun/profil/spieler/80059,27-30,39.0,5.0,3.5454545454545454
/valon-behrami/profil/spieler/21905,31-34,502.0,47.0,27.88888888888889
/cristian-herrera/profil/spieler/237617,27-30,6.0,1.0,0.5
/kalindi/profil/spieler/379377,24-26,174.0,23.0,19.333333333333332
/lorenzo-tonelli/profil/spieler/111347,27-30,171.0,27.0,13.153846153846153
/enzo-zidane/profil/spieler/106825,24-26,174.0,23.0,21.75
/kevin-trapp/profil/spieler/45672,27-30,326.0,42.0,27.166666666666668
/serhou-guirassy/profil/spieler/270541,21-23,375.0,36.0,53.57142857142857
/kerem-demirbay/profil/spieler/125858,24-26,174.0,23.0,19.333333333333332
/bulent-cevahir/profil/spieler/147518,27-30,10.0,3.0,0.9090909090909091
/juan-aguilera/profil/spieler/75820,31-34,107.0,14.0,6.294117647058823
/josete/profil/spieler/77037,27-30,183.0,26.0,13.071428571428571
/moreno-rutten/profil/spieler/187296,24-26,454.0,17.0,45.4
/jeff-attinella/profil/spieler/179323,27-30,79.0,10.0,5.642857142857143
/ozan-kabak/profil/spieler/361260,Sub_20,14.0,1.0,4.666666666666667
/laszlo-benes/profil/spieler/243188,21-23,396.0,44.0,79.2
/ishak-belfodil/profil/spieler/111039,27-30,52.0,3.0,4.7272727272727275
/mauro-cerqueira/profil/spieler/352847,24-26,32.0,0.0,3.2
/mario-rui/profil/spieler/87884,27-30,155.0,27.0,14.090909090909092
/terence-kongolo/profil/spieler/152651,24-26,209.0,27.0,23.22222222222222
/pavel-yakovlev/profil/spieler/63170,27-30,42.0,7.0,3.5
/nicola-sansone/profil/spieler/82048,27-30,180.0,33.0,16.363636363636363
/marc-cucurella/profil/spieler/284857,Sub_20,85.0,1.0,21.25
/jan-ingwer-callsen-bracker/profil/spieler/3851,31-34,1301.0,143.0,72.27777777777777
/clement-lenglet/profil/spieler/182904,21-23,6.0,1.0,0.8571428571428571
/jonathan-de-guzman/profil/spieler/31067,31-34,513.0,75.0,34.2
/dario-benedetto/profil/spieler/92693,27-30,288.0,31.0,24.0
/marcelo-goiano/profil/spieler/248903,31-34,60.0,10.0,4.0
/sergio-gil/profil/spieler/255994,21-23,119.0,18.0,17.0
/ramon-abila/profil/spieler/88049,27-30,34.0,7.0,2.6153846153846154
/yohan-croizet/profil/spieler/195910,27-30,183.0,26.0,16.636363636363637
/calogero-rizzuto/profil/spieler/93753,27-30,60.0,7.0,5.454545454545454
/aleksandr-samedov/profil/spieler/15076,31-34,93.0,10.0,5.166666666666667
/darron-gibson/profil/spieler/42413,31-34,763.0,104.0,50.86666666666667
/serhii-rybalka/profil/spieler/81649,27-30,17.0,3.0,1.3076923076923077
/martin-chrien/profil/spieler/252712,21-23,51.0,3.0,7.285714285714286
/jorge-pulido/profil/spieler/67546,27-30,60.0,11.0,5.0
