current_value,highest_value,last_team,prev_team,prev_prev_team,link,value_loss,current_log,double_trans
450000,450000,Vitesse,Hull City,Hull U23,/max-clark/profil/spieler/183291,0,13.017002861746503,2.5662564153311536
2700000,2700000,Levante,Spezia Calcio,CD Leganés,/sergio-postigo/profil/spieler/158791,0,14.808762330974558,2.6952190549681467
540000,630000,MSV Duisburg,VfL Osnabrück,Westf. Rhynern,/stanislav-iljutcenko/profil/spieler/191292,-90000,13.199324418540456,2.580165647868961
6750000,6750000,Boca Juniors,CD Cruz Azul,Lanús,/ivan-marcone/profil/spieler/90451,0,15.725053062848712,2.755255177006802
6300000,6300000,Montpellier,FC Metz,US Créteil,/florent-mollet/profil/spieler/222859,0,15.65606019136176,2.7508580747058122
6750000,6750000,Girona,Granada CF,Real Valladolid,/juanpe/profil/spieler/115333,0,15.725053062848712,2.755255177006802
15300000,16200000,Fiorentina,Toulouse,FC Toulouse U19,/alban-lafont/profil/spieler/357117,-900000,16.543363386362664,2.805985017554373
4500000,4500000,Braga,Olympiacos,Braga,/bruno-viana/profil/spieler/411838,0,15.319587954740548,2.72913226804608
13500000,13500000,Sampdoria,Juventus,Sampdoria,/emil-audero/profil/spieler/256339,0,16.41820024340866,2.798390490429152
1800000,6750000,VfB Stuttgart,VfL Wolfsburg,VfB Stuttgart,/christian-gentner/profil/spieler/19112,-4950000,14.403297222866392,2.667457154181619
450000,450000,Millwall,Spurs,Millwall,/jordan-archer/profil/spieler/177952,0,13.017002861746503,2.5662564153311536
540000,900000,Rio Ave FC,Stade Rennais,Levski Sofia,/afonso-figueiredo/profil/spieler/237000,-360000,13.199324418540456,2.580165647868961
900000,2700000,SPAL,Salt Lake,SPAL,/everton-luiz/profil/spieler/75076,-1800000,13.710150042306449,2.6181364375191847
45000000,45000000,Liverpool,Liverpool U18,Liverpool Youth,/trent-alexander-arnold/profil/spieler/314353,0,17.622173047734595,2.8691579413789916
1130000,1130000,FC Dallas,Colorado,Charlotte Ind.,/dominique-badji/profil/spieler/354840,0,13.937728190688523,2.634599421512393
27000000,27000000,Arsenal,Valencia,Sampdoria,/shkodran-mustafi/profil/spieler/88590,0,17.111347423968603,2.8397418354737174
630000,1130000,Braga,Nacional,Braga,/lazar-rosic/profil/spieler/198053,-500000,13.353475098367715,2.5917766579661077
11250000,11250000,RB Leipzig,FC Sion,Coritiba FC U20,/matheus-cunha/profil/spieler/517894,0,16.235878686614704,2.7872235270723325
900000,900000,Bologna,Montreal Impact,Bologna,/orji-okwonkwo/profil/spieler/401935,0,13.710150042306449,2.6181364375191847
675000,675000,Ipswich,Peterborough,Crawley Town,/gwion-edwards/profil/spieler/192766,0,13.422467969854667,2.5969300170092384
90000,1800000,C. Rizespor,Kasimpasa,Kayserispor,/abdullah-durak/profil/spieler/82713,-1710000,11.407564949312402,2.4342767273655532
360000,540000,Braga,Braga B,Luverdense,/ricardo-ryller/profil/spieler/349443,-180000,12.793859310432293,2.5489653144403843
