player,lastname,team,team_clas,league,team_country,player_link_tm,player_link_ws,team_ws_link,team_tm_link
Max Clark,Clark,Vitesse,Above 200,Eredivise (NET),NET,/max-clark/profil/spieler/183291,/Players/313996/Show/Max-Clark,/Teams/255/Show/Netherlands-Vitesse,/vitesse-arnheim/startseite/verein/499
Richonell Margaret,Margaret,Vitesse,Above 200,Eredivise (NET),NET,/richonell-margaret/profil/spieler/465326,/Players/369048/Show/Richonell-Margaret,/Teams/255/Show/Netherlands-Vitesse,/vitesse-arnheim/startseite/verein/499
Tim Matavz,Matavz,Vitesse,Above 200,Eredivise (NET),NET,/tim-matavz/profil/spieler/50303,/Players/25518/Show/Tim-Matavz,/Teams/255/Show/Netherlands-Vitesse,/vitesse-arnheim/startseite/verein/499
Alexander Büttner,Büttner,Vitesse,Above 200,Eredivise (NET),NET,/alexander-buttner/profil/spieler/38003,/Players/38147/Show/Alexander-Büttner,/Teams/255/Show/Netherlands-Vitesse,/vitesse-arnheim/startseite/verein/499
Rasmus Thelander,Thelander,Vitesse,Above 200,Eredivise (NET),NET,/rasmus-thelander/profil/spieler/129092,/Players/81841/Show/Rasmus-Thelander,/Teams/255/Show/Netherlands-Vitesse,/vitesse-arnheim/startseite/verein/499
Roy Beerens,Beerens,Vitesse,Above 200,Eredivise (NET),NET,/roy-beerens/profil/spieler/25427,/Players/18271/Show/Roy-Beerens,/Teams/255/Show/Netherlands-Vitesse,/vitesse-arnheim/startseite/verein/499
Sergio Postigo,Postigo,Levante,Top 150,La Liga (SPA),SPA,/sergio-postigo/profil/spieler/158791,/Players/109896/Show/Sergio-Postigo,/Teams/832/Show/Spain-Levante,/ud-levante/startseite/verein/3368
Nikola Vukcevic,Vukcevic,Levante,Top 150,La Liga (SPA),SPA,/nikola-vukcevic/profil/spieler/151470,/Players/50069/Show/Nikola-Vukcevic,/Teams/832/Show/Spain-Levante,/ud-levante/startseite/verein/3368
Erick Cabaco,Cabaco,Levante,Top 150,La Liga (SPA),SPA,/erick-cabaco/profil/spieler/302991,/Players/326461/Show/Erick-Cabaco,/Teams/832/Show/Spain-Levante,/ud-levante/startseite/verein/3368
Toño,Toño,Levante,Top 150,La Liga (SPA),SPA,/tono/profil/spieler/125931,/Players/243187/Show/Toño,/Teams/832/Show/Spain-Levante,/ud-levante/startseite/verein/3368
Rúben Vezo,Vezo,Levante,Top 150,La Liga (SPA),SPA,/ruben-vezo/profil/spieler/257851,/Players/130356/Show/Rúben-Vezo,/Teams/832/Show/Spain-Levante,/ud-levante/startseite/verein/3368
Rubén Rochina,Rochina,Levante,Top 150,La Liga (SPA),SPA,/ruben-rochina/profil/spieler/67548,/Players/91273/Show/Rubén-Rochina,/Teams/832/Show/Spain-Levante,/ud-levante/startseite/verein/3368
Enis Bardhi,Bardhi,Levante,Top 150,La Liga (SPA),SPA,/enis-bardhi/profil/spieler/245014,/Players/275687/Show/Enis-Bardhi,/Teams/832/Show/Spain-Levante,/ud-levante/startseite/verein/3368
Stanislav Iljutcenko,Iljutcenko,Duisburg,Above 200,Bundesliga 2 (GER),GER,/stanislav-iljutcenko/profil/spieler/191292,/Players/132901/Show/Stanislav-Iljutcenko,/Teams/35/Show/Germany-Duisburg,/msv-duisburg/startseite/verein/52
Enis Hajri,Hajri,Duisburg,Above 200,Bundesliga 2 (GER),GER,/enis-hajri/profil/spieler/28735,/Players/78617/Show/Enis-Hajri,/Teams/35/Show/Germany-Duisburg,/msv-duisburg/startseite/verein/52
Boris Tashchy,Tashchy,Duisburg,Above 200,Bundesliga 2 (GER),GER,/borys-tashchy/profil/spieler/138292,/Players/103150/Show/Boris-Tashchy,/Teams/35/Show/Germany-Duisburg,/msv-duisburg/startseite/verein/52
Felix Wiedwald,Wiedwald,Duisburg,Above 200,Bundesliga 2 (GER),GER,/felix-wiedwald/profil/spieler/44594,/Players/80426/Show/Felix-Wiedwald,/Teams/35/Show/Germany-Duisburg,/msv-duisburg/startseite/verein/52
