Awards,Category
Unnamed: 0,Player 
Unnamed: 1,Others 
AFC Champions League winner,Continental Club Winner
Africa Cup winner,Continental Nat Winner
African Footballer of the Year,Minor individuals 
Albanian Cup winner,League T2 Club Winner
Albanian Super Cup winner,League T2 Club Winner
All-time leader in caps,Top individuals 
All-time leading scorer,Top individuals 
Argentinian champion,League T2 Club Winner
Asian Cup winner,Continental Nat Winner
Asian Games-Winner,Continental Nat Winner
Austrian Central Regionalliga champion,League T2 Club Winner
Austrian First League champion,League T2 Club Winner
Austrian Western Regionalliga champion,League T2 Club Winner
Austrian Youth league U16 champion,Others 
Austrian Youth league U18 champion,Others 
Austrian champion,League T2 Club Winner
Austrian cup winner,League T2 Club Winner
Bavarian Cup winner,League T2 Club Winner
Belgian Super Cup Winner,League T2 Club Winner
Belgian champion,League T2 Club Winner
Belgian cup winner,League T2 Club Winner
Berlin Cup winner,League T1 Club Winner
Best assist provider,Minor individuals 
Best foreign player,Minor individuals 
Bosnian-Herzegovinian champion,League T2 Club Winner
Bosnian-Herzegovinian cup winner,League T2 Club Winner
Brandenburg Cup winner,League T2 Club Winner
Brazilian champion,League T2 Club Winner
Brazilian cup winner,League T2 Club Winner
Bulgarian champion,League T2 Club Winner
CAF Champions League winner,Continental Club Winner
CONCACAF Champions League winner,Continental Club Winner
Campeonato Brasileiro Série B Champioen,League T2 Club Winner
Canadian Cup Winner,League T2 Club Winner
Champions League runner-up,Continental Club Runner-up
Champions League winner,Continental Club Winner
Chilean champion,League T2 Club Winner
Chinese Super Cup winner,League T2 Club Winner
Chinese champion,League T2 Club Winner
Chinese cup winner,League T2 Club Winner
Confederations Cup runner-up,Continental Nat Runner-up
Confederations Cup winner,Continental Nat Winner
Copa América runner-up,Continental Nat Runner-up
Copa América winner,Continental Nat Winner
Copa Libertadores winner,Continental Club Winner
Copa Sudamericana winner,Continental Club Winner
Coppa Italia Primavera winner,League T2 Club Winner
Croatian champion,League T2 Club Winner
Croatian cup winner,League T2 Club Winner
Cyprian champion,League T2 Club Winner
Czech champion,League T2 Club Winner
Czech cup winner,League T2 Club Winner
Danish Cup Winner,League T2 Club Winner
Danish champion,League T2 Club Winner
Defender of the Year,Major individuals 
Dutch Cup Runner Up,League T1 Runner-up
Dutch Cup winner,League T1 Club Winner
Dutch Super Cup winner,League T1 Club Winner
Dutch U17 Champion,Others 
Dutch U19 Champion,Others 
Dutch champion,League T1 Club Winner
Dutch second tier champion,League T2 Club Winner
English Champion,League T1 Club Winner
English FA Cup runner-up,League T1 Runner-up
English FA Cup winner,League T1 Club Winner
English League Cup winner,League T1 Club Winner
English Super Cup winner,League T1 Club Winner
Estonian Super Cup winner,League T2 Club Winner
Estonian champion,League T2 Club Winner
Estonian cup winner,League T2 Club Winner
Euro Under-21 runner-up,Under Continental Runner-up
Euro runner-up,Continental Nat Runner-up
Europa League runner-up,Continental Club Runner-up
