age,link
23,/max-clark/profil/spieler/183291
30,/sergio-postigo/profil/spieler/158791
28,/stanislav-iljutcenko/profil/spieler/191292
28,/ivan-marcone/profil/spieler/90451
27,/florent-mollet/profil/spieler/222859
28,/juanpe/profil/spieler/115333
20,/alban-lafont/profil/spieler/357117
24,/bruno-viana/profil/spieler/411838
22,/emil-audero/profil/spieler/256339
33,/christian-gentner/profil/spieler/19112
26,/jordan-archer/profil/spieler/177952
26,/afonso-figueiredo/profil/spieler/237000
30,/everton-luiz/profil/spieler/75076
20,/trent-alexander-arnold/profil/spieler/314353
26,/dominique-badji/profil/spieler/354840
27,/shkodran-mustafi/profil/spieler/88590
25,/lazar-rosic/profil/spieler/198053
19,/matheus-cunha/profil/spieler/517894
21,/orji-okwonkwo/profil/spieler/401935
26,/gwion-edwards/profil/spieler/192766
32,/abdullah-durak/profil/spieler/82713
25,/ricardo-ryller/profil/spieler/349443
27,/elson-hooi/profil/spieler/229228
26,/evgeni-chernov/profil/spieler/187024
26,/warner-hahn/profil/spieler/111180
20,/alex-blanco/profil/spieler/328914
25,/julian-gressel/profil/spieler/229640
32,/domenico-criscito/profil/spieler/44136
27,/alexander-milosevic/profil/spieler/171376
25,/jordan-lefort/profil/spieler/192492
31,/fernando-zampedri/profil/spieler/104006
24,/deklan-wynne/profil/spieler/298228
28,/jordan-henderson/profil/spieler/61651
20,/kamil-zakirov/profil/spieler/494353
27,/niko-giesselmann/profil/spieler/72792
18,/thomas-roberts/profil/spieler/513967
18,/jan-zamburek/profil/spieler/487924
23,/robin-bormuth/profil/spieler/283286
21,/jordan-torunarigha/profil/spieler/227110
34,/mile-jedinak/profil/spieler/28336
26,/tyrone-mings/profil/spieler/253677
24,/john-mcginn/profil/spieler/193116
22,/diogo-jota/profil/spieler/340950
20,/omir-fernandez/profil/spieler/467271
26,/gonzalo-escalante/profil/spieler/266795
29,/nicolas-blandi/profil/spieler/153022
24,/danny-bakker/profil/spieler/250440
35,/charles/profil/spieler/154059
28,/leandro-fernandez/profil/spieler/131840
33,/igor-akinfeev/profil/spieler/15570
23,/andre-shinyashiki/profil/spieler/636331
24,/jake-cooper/profil/spieler/243603
27,/neymar/profil/spieler/68290
29,/pierre-emerick-aubameyang/profil/spieler/58864
27,/serdar-dursun/profil/spieler/80059
34,/valon-behrami/profil/spieler/21905
28,/cristian-herrera/profil/spieler/237617
25,/kalindi/profil/spieler/379377
29,/lorenzo-tonelli/profil/spieler/111347
24,/enzo-zidane/profil/spieler/106825
28,/kevin-trapp/profil/spieler/45672
23,/serhou-guirassy/profil/spieler/270541
25,/kerem-demirbay/profil/spieler/125858
27,/bulent-cevahir/profil/spieler/147518
33,/juan-aguilera/profil/spieler/75820
30,/josete/profil/spieler/77037
26,/moreno-rutten/profil/spieler/187296
30,/jeff-attinella/profil/spieler/179323
19,/ozan-kabak/profil/spieler/361260
21,/laszlo-benes/profil/spieler/243188
27,/ishak-belfodil/profil/spieler/111039
26,/mauro-cerqueira/profil/spieler/352847
27,/mario-rui/profil/spieler/87884
25,/terence-kongolo/profil/spieler/152651
28,/pavel-yakovlev/profil/spieler/63170
27,/nicola-sansone/profil/spieler/82048
20,/marc-cucurella/profil/spieler/284857
34,/jan-ingwer-callsen-bracker/profil/spieler/3851
23,/clement-lenglet/profil/spieler/182904
31,/jonathan-de-guzman/profil/spieler/31067
28,/dario-benedetto/profil/spieler/92693
31,/marcelo-goiano/profil/spieler/248903
