player,lastname,team,link_tm,link_ws
Max Clark,Clark,Vitesse,/max-clark/profil/spieler/183291,/Players/313996/Show/Max-Clark
Sergio Postigo,Postigo,Levante,/sergio-postigo/profil/spieler/158791,/Players/109896/Show/Sergio-Postigo
Stanislav Iljutcenko,Iljutcenko,Duisburg,/stanislav-iljutcenko/profil/spieler/191292,/Players/132901/Show/Stanislav-Iljutcenko
Iván Marcone,Marcone,Boca Juniors,/ivan-marcone/profil/spieler/90451,/Players/125246/Show/Iván-Marcone
Florent Mollet,Mollet,Montpellier,/florent-mollet/profil/spieler/222859,/Players/114169/Show/Florent-Mollet
Juanpe,Juanpe,Girona,/juanpe/profil/spieler/115333,/Players/140803/Show/Juanpe
Alban Lafont,Lafont,Fiorentina,/alban-lafont/profil/spieler/357117,/Players/300590/Show/Alban-Lafont
Bruno Viana,Viana,Braga,/bruno-viana/profil/spieler/411838,/Players/289112/Show/Bruno-Viana
Emil Audero,Audero,Sampdoria,/emil-audero/profil/spieler/256339,/Players/254692/Show/Emil-Audero
Christian Gentner,Gentner,VfB Stuttgart,/christian-gentner/profil/spieler/19112,/Players/11269/Show/Christian-Gentner
Jordan Archer,Archer,Millwall,/jordan-archer/profil/spieler/177952,/Players/120105/Show/Jordan-Archer
Afonso Figueiredo,Figueiredo,Rio Ave,/afonso-figueiredo/profil/spieler/237000,/Players/330612/Show/Afonso-Figueiredo
Everton Luiz,Luiz,Real Salt Lake,/everton-luiz/profil/spieler/75076,/Players/74141/Show/Everton-Luiz
Trent Alexander-Arnold,Alexander-Arnold,Liverpool,/trent-alexander-arnold/profil/spieler/314353,/Players/318871/Show/Trent-Alexander-Arnold
Dominique Badji,Badji,FC Dallas,/dominique-badji/profil/spieler/354840,/Players/270584/Show/Dominique-Badji
Shkodran Mustafi,Mustafi,Arsenal,/shkodran-mustafi/profil/spieler/88590,/Players/80921/Show/Shkodran-Mustafi
Lazar Rosic,Rosic,Nacional,/lazar-rosic/profil/spieler/198053,/Players/322792/Show/Lazar-Rosic
Matheus Cunha,Cunha,RasenBallsport Leipzig,/matheus-cunha/profil/spieler/517894,/Players/362758/Show/Matheus-Cunha
Orji Okwonkwo,Okwonkwo,Montreal Impact,/orji-okwonkwo/profil/spieler/401935,/Players/330643/Show/Orji-Okwonkwo
