Country,Position
Belgium,1
France,2
Brazil,3
England,4
Croatia,5
Uruguay,6
Portugal,7
Switzerland,8
Spain,9
Denmark,10
Argentina,11
Colombia,12
Germany,13
Sweden,14
Chile,15
Netherlands,16
Italy,17
Mexico,18
Wales,19
Poland,20
Peru,21
Iran,22
Senegal,23
USA,24
Romania,25
Japan,26
Ukraine,27
Tunisia,28
Serbia,29
Venezuela,30
Ireland,31
Slovakia,32
N. Ireland,33
Austria,34
Bosnia,35
Paraguay,36
South Korea,37
Costa Rica,38
Turkey,39
Iceland,40
Scotland,41
Australia,42
Nigeria,43
Greece,44
Morocco,45
Russia,46
DR Congo,47
Czech Republic,48
Ghana,49
Norway,50
Hungary,51
Bulgaria,52
Montenegro,53
Cameroon,54
Cameroon U17,55
Qatar,56
Jamaica,57
Egypt,58
Burkina Faso,59
Ecuador,60
Finland,61
Honduras,62
Albania,63
Slovenia,64
Bolivia,65
Mali,66
Ivory Coast,67
U. A. E.,68
North Macedonia,69
Guinea,70
Algeria,71
El Salvador,72
Saudi Arabia,73
South Africa,74
Panama,75
China,76
Iraq,77
Cape Verde,78
Canada,79
Zambia,80
Uganda,81
Belarus,82
Curaçao,83
Syria,84
Israel,85
Uzbekistan,86
Luxembourg,87
Oman,88
Lebanon,89
Cyprus,90
Gabon,91
Benin,92
Congo,93
Trinidad,94
Georgia,95
Kyrgyzstan,96
Estonia,97
Jordan,98
Vietnam,99
South Vietnam,100
Palestine,101
Haiti,102
India,103
Faroe Islands,104
Mauritania,105
Niger,106
Libya,107
Armenia,108
Madagascar,109
Kenya,110
Azerbaijan,111
Zimbabwe,112
Bahrain,113
Central Africa,114
Namibia,115
Thailand,116
Sierra Leone,117
Kazakhstan,118
Mozambique,119
Guinea-Bissau,120
New Zealand,121
Tajikistan,122
North Korea,123
Angola,124
Antigua and B.,125
Philippines,126
C. Taipei,127
Togo,128
Kosovo,129
Malawi U23,130
Malawi,131
Nicaragua,132
Sudan,133
Tanzania,134
Lithuania,135
Latvia,136
Andorra,137
St. Kitts/Nevis,138
Burundi,139
Turkmenistan,140
Rwanda,141
Solomon Islands,142
Myanmar,143
Hong Kong,144
Lesotho,145
Eswatini,146
Guatemala,147
Equat. Guinea,148
Yemen,149
Comoros,150
Botswana,151
Afghanistan,152
Ethiopia,153
Maldives,154
Suriname,155
Liberia,156
Dominican Rep.,157
New Caledonia,158
Mauritius,159
Kuwait,160
Tahiti,161
Indonesia,162
Singapore,163
Barbados,164
Nepal,165
The Gambia,166
Belize,167
Fiji,168
Vanuatu,169
South Sudan,170
Malaysia,171
Papua N. Guinea,172
Saint Lucia,173
Moldova,174
Grenada,175
