link,nationality,minutes,agent
/max-clark/profil/spieler/183291,England,0,KIN
/sergio-postigo/profil/spieler/158791,Spain,0,JPA Soccer
/stanislav-iljutcenko/profil/spieler/191292,Russia,0,Coaches & More GmbH
/ivan-marcone/profil/spieler/90451,Argentina,0,Christian Bragarnik
/florent-mollet/profil/spieler/222859,France,0,No agent
/juanpe/profil/spieler/115333,Spain,0,DRL
/alban-lafont/profil/spieler/357117,France,0,Relatives
/bruno-viana/profil/spieler/411838,Brazil,0,No agent
/emil-audero/profil/spieler/256339,Italy,836,TMP SOCCER srl
/christian-gentner/profil/spieler/19112,Germany,324,BMS Sportconsulting ...
/jordan-archer/profil/spieler/177952,Scotland,90,Unique Sports ...
/afonso-figueiredo/profil/spieler/237000,Portugal,30,PromoSport
/everton-luiz/profil/spieler/75076,Brazil,0,Attacantti Sports ...
/trent-alexander-arnold/profil/spieler/314353,England,316,Raps Management
/dominique-badji/profil/spieler/354840,Senegal,0,No agent
/shkodran-mustafi/profil/spieler/88590,Germany,1431,Family & Football
/lazar-rosic/profil/spieler/198053,Serbia,0,No agent
/matheus-cunha/profil/spieler/517894,Brazil,0,No agent
/orji-okwonkwo/profil/spieler/401935,Nigeria,0,Wonder Sports
/gwion-edwards/profil/spieler/192766,Wales,0,Base Soccer Agency ...
/abdullah-durak/profil/spieler/82713,Turkey,161,CMF Sports
/ricardo-ryller/profil/spieler/349443,Brazil,0,BLB SPORTS
/elson-hooi/profil/spieler/229228,Curacao,0,LJ Sports & ...
/evgeni-chernov/profil/spieler/187024,Russia,0,FM Sports Agency
/warner-hahn/profil/spieler/111180,Netherlands,1078,Forza Sports Group
/alex-blanco/profil/spieler/328914,Spain,0,AC Talent
/julian-gressel/profil/spieler/229640,Germany,0,Stellar Football Ltd
/domenico-criscito/profil/spieler/44136,Italy,1717,PDP s.r.l.  ...
/alexander-milosevic/profil/spieler/171376,Sweden,490,MILOGO MENADZMENT
/jordan-lefort/profil/spieler/192492,France,0,No agent
/fernando-zampedri/profil/spieler/104006,Argentina,0,GISMAN-The ...
/deklan-wynne/profil/spieler/298228,New Zealand,1176,Base Soccer Agency ...
/jordan-henderson/profil/spieler/61651,England,3382,No agent
/kamil-zakirov/profil/spieler/494353,Russia,0,Hawk Football
/niko-giesselmann/profil/spieler/72792,Germany,0,SMG GmbH
/thomas-roberts/profil/spieler/513967,United States,0,WMG
/jan-zamburek/profil/spieler/487924,Czech Republic,0,No agent
/robin-bormuth/profil/spieler/283286,Germany,0,D+R Dahm Richter ...
/jordan-torunarigha/profil/spieler/227110,Germany,242,ROGON
/mile-jedinak/profil/spieler/28336,Australia,5641,Playmaker Football ...
/tyrone-mings/profil/spieler/253677,England,0,Key Sports ...
/john-mcginn/profil/spieler/193116,Scotland,799,No agent
/diogo-jota/profil/spieler/340950,Portugal,0,Gestifute
/omir-fernandez/profil/spieler/467271,United States,0,No agent
/gonzalo-escalante/profil/spieler/266795,Argentina,0,No agent
/nicolas-blandi/profil/spieler/153022,Argentina,0,BBC Management GmbH
/danny-bakker/profil/spieler/250440,Netherlands,250,Wasserman ...
/charles/profil/spieler/154059,Brazil,0,CONACTA INC
/leandro-fernandez/profil/spieler/131840,Argentina,0,No agent
/igor-akinfeev/profil/spieler/15570,Russia,9649,not clarified
/andre-shinyashiki/profil/spieler/636331,Brazil,0,Octagon
/jake-cooper/profil/spieler/243603,England,90,No agent
/neymar/profil/spieler/68290,Brazil,8022,Relatives
/pierre-emerick-aubameyang/profil/spieler/58864,Gabon,4028,Relatives
/serdar-dursun/profil/spieler/80059,Germany,0,NOACK SPORTS GmbH
/valon-behrami/profil/spieler/21905,Switzerland,5835,LIAN SPORTS
/cristian-herrera/profil/spieler/237617,Spain,0,Pedro Bravo - ...
/kalindi/profil/spieler/379377,Brazil,0,PromoSport
/lorenzo-tonelli/profil/spieler/111347,Italy,0,Football Now Limited
/enzo-zidane/profil/spieler/106825,France,0,No agent
/kevin-trapp/profil/spieler/45672,Germany,270,No agent
/serhou-guirassy/profil/spieler/270541,France,414,Relatives
/kerem-demirbay/profil/spieler/125858,Germany,91,arena11 sports group
/bulent-cevahir/profil/spieler/147518,Turkey,239,Golden Foot ...
/juan-aguilera/profil/spieler/75820,Spain,0,Bahía Internacional
/josete/profil/spieler/77037,Spain,0,JV SPORTS SL
/moreno-rutten/profil/spieler/187296,Netherlands,0,Soccer-Solutions
/jeff-attinella/profil/spieler/179323,United States,0,No agent
/ozan-kabak/profil/spieler/361260,Turkey,0,F-F SPORT
/laszlo-benes/profil/spieler/243188,Slovakia,1,Stars & Friends
/ishak-belfodil/profil/spieler/111039,Algeria,670,Relatives
/mauro-cerqueira/profil/spieler/352847,Portugal,0,KVD Player Agency
/mario-rui/profil/spieler/87884,Portugal,523,M.A.R.A.T. Football ...
/terence-kongolo/profil/spieler/152651,Netherlands,160,Wasserman ...
/pavel-yakovlev/profil/spieler/63170,Russia,0,SA-Football Agency
/nicola-sansone/profil/spieler/82048,Italy,49,TMP SOCCER srl
/marc-cucurella/profil/spieler/284857,Spain,415,EMG Mundial
/jan-ingwer-callsen-bracker/profil/spieler/3851,Germany,224,Robert Schneider
/clement-lenglet/profil/spieler/182904,France,0,firsteleven ISM
/jonathan-de-guzman/profil/spieler/31067,Netherlands,801,Juzzt Football
/dario-benedetto/profil/spieler/92693,Argentina,257,Christian Bragarnik
/marcelo-goiano/profil/spieler/248903,Brazil,0,PromoSport
/sergio-gil/profil/spieler/255994,Spain,0,Eleven Talent Group
/ramon-abila/profil/spieler/88049,Argentina,0,Relatives
/yohan-croizet/profil/spieler/195910,France,0,J&S International
/calogero-rizzuto/profil/spieler/93753,Germany,0,Sportagentur Lokurlu
/aleksandr-samedov/profil/spieler/15076,Russia,3495,No agent
/darron-gibson/profil/spieler/42413,Ireland,0,No agent
/serhii-rybalka/profil/spieler/81649,Ukraine,540,16 Football Agency
/martin-chrien/profil/spieler/252712,Slovakia,0,IFManagement
/jorge-pulido/profil/spieler/67546,Spain,224,no agent
/claudio-yacob/profil/spieler/45330,Argentina,104,InterLex Sport
/nicolas-aguirre/profil/spieler/88166,Argentina,0,no agent
/lautaro-gianetti/profil/spieler/225963,Argentina,90,Dodici
/bruno-ecuele-manga/profil/spieler/60990,Gabon,5250,Relatives
/oliver-mcburnie/profil/spieler/298477,Scotland,341,Stellar Football Ltd
/ferhat-kaplan/profil/spieler/93104,Turkey,19,Foot & Ball
/fallou-diagne/profil/spieler/82389,Senegal,207,arena11 sports group
/aissa-mandi/profil/spieler/80293,Algeria,3862,Soccertalents
/aaron-seydel/profil/spieler/187499,Germany,211,PRO Profil GmbH
/maximiliano-gomez/profil/spieler/396894,Uruguay,160,Stellar Football Ltd
/yuri-gazinskiy/profil/spieler/159957,Russia,1199,No agent
/nicolas-benezet/profil/spieler/164230,France,0,MARNEB INTERNATIONAL
/john-goossens/profil/spieler/35527,Netherlands,259,EFM International
/ruud-boffin/profil/spieler/31336,Belgium,0,11one
/tomas-hubocan/profil/spieler/63252,Slovakia,4939,Stars & Friends
/nick-kuipers/profil/spieler/159032,Netherlands,0,Eden Sports Group
/papiss-demba-cisse/profil/spieler/33952,Senegal,2327,No agent
/ben-amos/profil/spieler/73472,England,225,Omni-Sports
/nikola-maras/profil/spieler/258475,Serbia,180,Seven stars
/yann-aurel-bisseck/profil/spieler/441986,Germany,585,ROGON
/yeray-alvarez/profil/spieler/255488,Spain,0,No agent
/ivan-gomez/profil/spieler/459318,Argentina,0,GM Sports Management
/iker-casillas/profil/spieler/3979,Spain,13444,380amk
/maximilian-jansen/profil/spieler/149209,Germany,0,VIDA Sports GmbH
/dominik-baumgartner/profil/spieler/206906,Austria,0,GRASS IS GREEN
/niki-jackson/profil/spieler/544390,United States,0,No agent
/mathias-suarez/profil/spieler/294895,Uruguay,191,not clarified
/nikola-stojiljkovic/profil/spieler/113504,Serbia,147,No agent
/jordan-teze/profil/spieler/364245,Netherlands,90,No agent
/nikola-vukcevic/profil/spieler/151470,Montenegro,2718,Gestifute
/asier-illarramendi/profil/spieler/59344,Spain,224,Bahía Internacional
/claudio-marchisio/profil/spieler/44716,Italy,3976,Relatives
/iddrisu-baba/profil/spieler/442805,Ghana,0,JJ SPORT MANAGERS SL
/kristoffer-olsson/profil/spieler/193592,Sweden,547,NSKY
/ilzat-akhmetov/profil/spieler/334440,Russia,162,TBSportmarketing ...
/lucas-digne/profil/spieler/126664,France,1429,Beckster SPRL
/ravanelli/profil/spieler/390370,Brazil,0,Elenko Sports Ltda.
/lionel-messi/profil/spieler/28003,Argentina,10583,Relatives
/raul-albiol/profil/spieler/15452,Spain,4232,Manuel García ...
/rodrigo-brana/profil/spieler/56001,Argentina,481,No agent
/josh-sargent/profil/spieler/393325,United States,236,WMG
/gonzalo-castellani/profil/spieler/87840,Argentina,0,Monte Areo Sports
/dominik-kohr/profil/spieler/118847,Germany,75,SportsTotal
/timur-zhamaletdinov/profil/spieler/315557,Russia,0,FM Sports Agency
/pawel-jaroszynski/profil/spieler/287600,Poland,0,Sport Events s.r.l
/rani-khedira/profil/spieler/124410,Germany,0,NGM SPORTS
/lisandro-martinez/profil/spieler/480762,Argentina,45,No agent
/ahmed-ildiz/profil/spieler/226169,Turkey,226,Sports United GmbH
/erick-cabaco/profil/spieler/302991,Uruguay,0,InterStarDeporte
/salih-dursun/profil/spieler/176961,Turkey,0,SEG
/rouwen-hennings/profil/spieler/16311,Germany,1211,T21plus
/javier-manquillo/profil/spieler/162029,Spain,0,Stellar Football Ltd
/vincent-manceau/profil/spieler/83132,France,0,GROUPE USM
/adis-jahovic/profil/spieler/98536,North Macedonia,740,Nianelli Sport
/tom-carroll/profil/spieler/121279,England,1295,No agent
/jonathan-biabiany/profil/spieler/45567,France,0,Branchini Associati ...
/nahuel-molina/profil/spieler/424042,Argentina,447,No agent
/jonas-martin/profil/spieler/127142,France,0,No agent
/marlon-ritter/profil/spieler/151636,Germany,0,KL Sportsbase
/ayoub-el-kaabi/profil/spieler/521127,Morocco,425,No agent
/adam-smith/profil/spieler/61841,England,794,Stellar Football Ltd
/chris-lowe/profil/spieler/55125,Germany,0,ISMG International
/sem-steijn/profil/spieler/593519,Netherlands,0,Agent is known - player under 18
/alex-telles/profil/spieler/255755,Brazil,90,Relatives
/jorrit-hendrix/profil/spieler/205004,Netherlands,25,SEG
/marco-asensio/profil/spieler/296622,Spain,1226,Horacio Gaggioli
/timo-baumgartl/profil/spieler/187491,Germany,1133,Kögl & Partner GmbH
/javi-fuego/profil/spieler/56134,Spain,0,Eugenio Botas ...
/joao-teixeira/profil/spieler/182710,Portugal,11,Gestifute
/facundo-piriz/profil/spieler/148607,Uruguay,0,Oscar Bentancourt
/younes-namli/profil/spieler/227039,Denmark,0,Forza Sports Group
/arturo-calabresi/profil/spieler/240897,Italy,255,Samii ...
/niklas-sule/profil/spieler/166601,Germany,1253,Karlheinz Förster
/kyle-bartley/profil/spieler/67421,England,0,Stellar Football Ltd
/ryan-manning/profil/spieler/262300,Ireland,0,Red6 Sports ...
/omar-browne/profil/spieler/189523,Panama,169,No agent
/sergey-petrov/profil/spieler/102581,Russia,169,Pavel Andreev
/ezequiel-unsain/profil/spieler/337600,Argentina,0,No agent
/pele/profil/spieler/99189,Guinea-Bissau,446,Ulisses Santos - ...
/fabio-quagliarella/profil/spieler/22328,Italy,1148,AGB Sport Management
/mubarak-wakaso/profil/spieler/45639,Ghana,3196,not clarified
/lionn/profil/spieler/75116,Brazil,0,no agent
/gaston-bojanich/profil/spieler/357337,Argentina,0,No agent
/rodrigo-de-paul/profil/spieler/255901,Argentina,196,not clarified
/bruno-martins-indi/profil/spieler/112052,Netherlands,2698,Juzzt Football
/pierrick-capelle/profil/spieler/214532,France,0,No agent
/jonathan-osorio/profil/spieler/260807,Canada,1386,Beswicks Sports Ltd
/giorgi-papunashvili/profil/spieler/214259,Georgia,401,Levan Zukhbaia
/lukas-gugganig/profil/spieler/164142,Austria,0,ROGON
/drew-moor/profil/spieler/39503,United States,450,WMG
