current_value,highest_value,outfitter,last_team,prev_team,prev_prev_team,link
£450k,£450k,None,Vitesse,Hull City,Hull U23,/max-clark/profil/spieler/183291
£2.70m,£2.70m,None,Levante,Spezia Calcio,CD Leganés,/sergio-postigo/profil/spieler/158791
£540k,£630k,None,MSV Duisburg,VfL Osnabrück,Westf. Rhynern,/stanislav-iljutcenko/profil/spieler/191292
£6.75m,£6.75m,None,Boca Juniors,CD Cruz Azul,Lanús,/ivan-marcone/profil/spieler/90451
£6.30m,£6.30m,None,Montpellier,FC Metz,US Créteil,/florent-mollet/profil/spieler/222859
£6.75m,£6.75m,None,Girona,Granada CF,Real Valladolid,/juanpe/profil/spieler/115333
£15.30m,£16.20m,None,Fiorentina,Toulouse,FC Toulouse U19,/alban-lafont/profil/spieler/357117
£4.50m,£4.50m,None,Braga,Olympiacos,Braga,/bruno-viana/profil/spieler/411838
£13.50m,£13.50m,None,Sampdoria,Juventus,Sampdoria,/emil-audero/profil/spieler/256339
£1.80m,£6.75m,None,VfB Stuttgart,VfL Wolfsburg,VfB Stuttgart,/christian-gentner/profil/spieler/19112
£450k,£450k,None,Millwall,Spurs,Millwall,/jordan-archer/profil/spieler/177952
£540k,£900k,None,Rio Ave FC,Stade Rennais,Levski Sofia,/afonso-figueiredo/profil/spieler/237000
£900k,£2.70m,None,SPAL,Salt Lake,SPAL,/everton-luiz/profil/spieler/75076
£45.00m,£45.00m,None,Liverpool,Liverpool U18,Liverpool Youth,/trent-alexander-arnold/profil/spieler/314353
£1.13m,£1.13m,None,FC Dallas,Colorado,Charlotte Ind.,/dominique-badji/profil/spieler/354840
£27.00m,£27.00m,None,Arsenal,Valencia,Sampdoria,/shkodran-mustafi/profil/spieler/88590
£630k,£1.13m,None,Braga,Nacional,Braga,/lazar-rosic/profil/spieler/198053
£11.25m,£11.25m,None,RB Leipzig,FC Sion,Coritiba FC U20,/matheus-cunha/profil/spieler/517894
£900k,£900k,None,Bologna,Montreal Impact,Bologna,/orji-okwonkwo/profil/spieler/401935
£675k,£675k,None,Ipswich,Peterborough,Crawley Town,/gwion-edwards/profil/spieler/192766
£90k,£1.80m,None,C. Rizespor,Kasimpasa,Kayserispor,/abdullah-durak/profil/spieler/82713
£360k,£540k,None,Braga,Braga B,Luverdense,/ricardo-ryller/profil/spieler/349443
£540k,£540k,None,ADO Den Haag,Vendsyssel FF,Ermis Aradippou,/elson-hooi/profil/spieler/229228
£1.08m,£1.08m,None,Rostov,Zenit S-Pb,Tosno,/evgeni-chernov/profil/spieler/187024
£1.35m,£2.25m,None,Heerenveen,Feyenoord,Excelsior,/warner-hahn/profil/spieler/111180
£270k,£270k,None,Valencia B,Alavés,Valencia B,/alex-blanco/profil/spieler/328914
