Keyword,Link,Positive,Negative,Neutral
Trent Alexander-Arnold Liverpool,"0      /Players/318871/Show/Trent-Alexander-Arnold
1      /Players/318871/Show/Trent-Alexander-Arnold
2      /Players/318871/Show/Trent-Alexander-Arnold
3      /Players/318871/Show/Trent-Alexander-Arnold
4      /Players/318871/Show/Trent-Alexander-Arnold
5      /Players/318871/Show/Trent-Alexander-Arnold
6      /Players/318871/Show/Trent-Alexander-Arnold
7      /Players/318871/Show/Trent-Alexander-Arnold
8      /Players/318871/Show/Trent-Alexander-Arnold
9      /Players/318871/Show/Trent-Alexander-Arnold
10     /Players/318871/Show/Trent-Alexander-Arnold
11     /Players/318871/Show/Trent-Alexander-Arnold
12     /Players/318871/Show/Trent-Alexander-Arnold
13     /Players/318871/Show/Trent-Alexander-Arnold
14     /Players/318871/Show/Trent-Alexander-Arnold
15     /Players/318871/Show/Trent-Alexander-Arnold
16     /Players/318871/Show/Trent-Alexander-Arnold
17     /Players/318871/Show/Trent-Alexander-Arnold
18     /Players/318871/Show/Trent-Alexander-Arnold
19     /Players/318871/Show/Trent-Alexander-Arnold
20     /Players/318871/Show/Trent-Alexander-Arnold
21     /Players/318871/Show/Trent-Alexander-Arnold
22     /Players/318871/Show/Trent-Alexander-Arnold
23     /Players/318871/Show/Trent-Alexander-Arnold
24     /Players/318871/Show/Trent-Alexander-Arnold
25     /Players/318871/Show/Trent-Alexander-Arnold
26     /Players/318871/Show/Trent-Alexander-Arnold
27     /Players/318871/Show/Trent-Alexander-Arnold
28     /Players/318871/Show/Trent-Alexander-Arnold
29     /Players/318871/Show/Trent-Alexander-Arnold
                          ...                     
170    /Players/318871/Show/Trent-Alexander-Arnold
171    /Players/318871/Show/Trent-Alexander-Arnold
172    /Players/318871/Show/Trent-Alexander-Arnold
173    /Players/318871/Show/Trent-Alexander-Arnold
174    /Players/318871/Show/Trent-Alexander-Arnold
175    /Players/318871/Show/Trent-Alexander-Arnold
176    /Players/318871/Show/Trent-Alexander-Arnold
177    /Players/318871/Show/Trent-Alexander-Arnold
178    /Players/318871/Show/Trent-Alexander-Arnold
179    /Players/318871/Show/Trent-Alexander-Arnold
180    /Players/318871/Show/Trent-Alexander-Arnold
181    /Players/318871/Show/Trent-Alexander-Arnold
182    /Players/318871/Show/Trent-Alexander-Arnold
183    /Players/318871/Show/Trent-Alexander-Arnold
184    /Players/318871/Show/Trent-Alexander-Arnold
185    /Players/318871/Show/Trent-Alexander-Arnold
186    /Players/318871/Show/Trent-Alexander-Arnold
187    /Players/318871/Show/Trent-Alexander-Arnold
188    /Players/318871/Show/Trent-Alexander-Arnold
189    /Players/318871/Show/Trent-Alexander-Arnold
190    /Players/318871/Show/Trent-Alexander-Arnold
191    /Players/318871/Show/Trent-Alexander-Arnold
192    /Players/318871/Show/Trent-Alexander-Arnold
193    /Players/318871/Show/Trent-Alexander-Arnold
194    /Players/318871/Show/Trent-Alexander-Arnold
195    /Players/318871/Show/Trent-Alexander-Arnold
196    /Players/318871/Show/Trent-Alexander-Arnold
197    /Players/318871/Show/Trent-Alexander-Arnold
198    /Players/318871/Show/Trent-Alexander-Arnold
199    /Players/318871/Show/Trent-Alexander-Arnold
Name: Link, Length: 200, dtype: object",60.0,4.5,35.5
Pierre-Emerick Aubameyang Arsenal,"0      /Players/44120/Show/Pierre-Emerick-Aubameyang
1      /Players/44120/Show/Pierre-Emerick-Aubameyang
2      /Players/44120/Show/Pierre-Emerick-Aubameyang
3      /Players/44120/Show/Pierre-Emerick-Aubameyang
4      /Players/44120/Show/Pierre-Emerick-Aubameyang
5      /Players/44120/Show/Pierre-Emerick-Aubameyang
6      /Players/44120/Show/Pierre-Emerick-Aubameyang
7      /Players/44120/Show/Pierre-Emerick-Aubameyang
8      /Players/44120/Show/Pierre-Emerick-Aubameyang
9      /Players/44120/Show/Pierre-Emerick-Aubameyang
10     /Players/44120/Show/Pierre-Emerick-Aubameyang
11     /Players/44120/Show/Pierre-Emerick-Aubameyang
12     /Players/44120/Show/Pierre-Emerick-Aubameyang
13     /Players/44120/Show/Pierre-Emerick-Aubameyang
14     /Players/44120/Show/Pierre-Emerick-Aubameyang
15     /Players/44120/Show/Pierre-Emerick-Aubameyang
16     /Players/44120/Show/Pierre-Emerick-Aubameyang
17     /Players/44120/Show/Pierre-Emerick-Aubameyang
18     /Players/44120/Show/Pierre-Emerick-Aubameyang
19     /Players/44120/Show/Pierre-Emerick-Aubameyang
20     /Players/44120/Show/Pierre-Emerick-Aubameyang
21     /Players/44120/Show/Pierre-Emerick-Aubameyang
22     /Players/44120/Show/Pierre-Emerick-Aubameyang
23     /Players/44120/Show/Pierre-Emerick-Aubameyang
24     /Players/44120/Show/Pierre-Emerick-Aubameyang
25     /Players/44120/Show/Pierre-Emerick-Aubameyang
26     /Players/44120/Show/Pierre-Emerick-Aubameyang
27     /Players/44120/Show/Pierre-Emerick-Aubameyang
28     /Players/44120/Show/Pierre-Emerick-Aubameyang
29     /Players/44120/Show/Pierre-Emerick-Aubameyang
                           ...                      
170    /Players/44120/Show/Pierre-Emerick-Aubameyang
171    /Players/44120/Show/Pierre-Emerick-Aubameyang
172    /Players/44120/Show/Pierre-Emerick-Aubameyang
173    /Players/44120/Show/Pierre-Emerick-Aubameyang
174    /Players/44120/Show/Pierre-Emerick-Aubameyang
175    /Players/44120/Show/Pierre-Emerick-Aubameyang
176    /Players/44120/Show/Pierre-Emerick-Aubameyang
177    /Players/44120/Show/Pierre-Emerick-Aubameyang
178    /Players/44120/Show/Pierre-Emerick-Aubameyang
179    /Players/44120/Show/Pierre-Emerick-Aubameyang
180    /Players/44120/Show/Pierre-Emerick-Aubameyang
181    /Players/44120/Show/Pierre-Emerick-Aubameyang
182    /Players/44120/Show/Pierre-Emerick-Aubameyang
183    /Players/44120/Show/Pierre-Emerick-Aubameyang
184    /Players/44120/Show/Pierre-Emerick-Aubameyang
185    /Players/44120/Show/Pierre-Emerick-Aubameyang
186    /Players/44120/Show/Pierre-Emerick-Aubameyang
187    /Players/44120/Show/Pierre-Emerick-Aubameyang
188    /Players/44120/Show/Pierre-Emerick-Aubameyang
189    /Players/44120/Show/Pierre-Emerick-Aubameyang
190    /Players/44120/Show/Pierre-Emerick-Aubameyang
191    /Players/44120/Show/Pierre-Emerick-Aubameyang
192    /Players/44120/Show/Pierre-Emerick-Aubameyang
193    /Players/44120/Show/Pierre-Emerick-Aubameyang
194    /Players/44120/Show/Pierre-Emerick-Aubameyang
195    /Players/44120/Show/Pierre-Emerick-Aubameyang
196    /Players/44120/Show/Pierre-Emerick-Aubameyang
197    /Players/44120/Show/Pierre-Emerick-Aubameyang
198    /Players/44120/Show/Pierre-Emerick-Aubameyang
199    /Players/44120/Show/Pierre-Emerick-Aubameyang
Name: Link, Length: 200, dtype: object",33.0,3.0,64.0
Neymar Paris Saint-Germain,"0      /Players/50835/Show/Neymar
1      /Players/50835/Show/Neymar
2      /Players/50835/Show/Neymar
3      /Players/50835/Show/Neymar
4      /Players/50835/Show/Neymar
5      /Players/50835/Show/Neymar
6      /Players/50835/Show/Neymar
7      /Players/50835/Show/Neymar
8      /Players/50835/Show/Neymar
9      /Players/50835/Show/Neymar
10     /Players/50835/Show/Neymar
11     /Players/50835/Show/Neymar
12     /Players/50835/Show/Neymar
13     /Players/50835/Show/Neymar
14     /Players/50835/Show/Neymar
15     /Players/50835/Show/Neymar
16     /Players/50835/Show/Neymar
17     /Players/50835/Show/Neymar
18     /Players/50835/Show/Neymar
19     /Players/50835/Show/Neymar
20     /Players/50835/Show/Neymar
21     /Players/50835/Show/Neymar
22     /Players/50835/Show/Neymar
23     /Players/50835/Show/Neymar
24     /Players/50835/Show/Neymar
25     /Players/50835/Show/Neymar
26     /Players/50835/Show/Neymar
27     /Players/50835/Show/Neymar
28     /Players/50835/Show/Neymar
29     /Players/50835/Show/Neymar
                  ...            
170    /Players/50835/Show/Neymar
171    /Players/50835/Show/Neymar
172    /Players/50835/Show/Neymar
173    /Players/50835/Show/Neymar
174    /Players/50835/Show/Neymar
175    /Players/50835/Show/Neymar
176    /Players/50835/Show/Neymar
177    /Players/50835/Show/Neymar
178    /Players/50835/Show/Neymar
179    /Players/50835/Show/Neymar
180    /Players/50835/Show/Neymar
181    /Players/50835/Show/Neymar
182    /Players/50835/Show/Neymar
183    /Players/50835/Show/Neymar
184    /Players/50835/Show/Neymar
185    /Players/50835/Show/Neymar
186    /Players/50835/Show/Neymar
187    /Players/50835/Show/Neymar
188    /Players/50835/Show/Neymar
189    /Players/50835/Show/Neymar
190    /Players/50835/Show/Neymar
191    /Players/50835/Show/Neymar
192    /Players/50835/Show/Neymar
193    /Players/50835/Show/Neymar
194    /Players/50835/Show/Neymar
195    /Players/50835/Show/Neymar
196    /Players/50835/Show/Neymar
197    /Players/50835/Show/Neymar
198    /Players/50835/Show/Neymar
199    /Players/50835/Show/Neymar
Name: Link, Length: 200, dtype: object",24.0,10.5,65.5
Jordan Henderson Liverpool,"0      /Players/68659/Show/Jordan-Henderson
1      /Players/68659/Show/Jordan-Henderson
2      /Players/68659/Show/Jordan-Henderson
3      /Players/68659/Show/Jordan-Henderson
4      /Players/68659/Show/Jordan-Henderson
5      /Players/68659/Show/Jordan-Henderson
6      /Players/68659/Show/Jordan-Henderson
7      /Players/68659/Show/Jordan-Henderson
8      /Players/68659/Show/Jordan-Henderson
9      /Players/68659/Show/Jordan-Henderson
10     /Players/68659/Show/Jordan-Henderson
11     /Players/68659/Show/Jordan-Henderson
12     /Players/68659/Show/Jordan-Henderson
13     /Players/68659/Show/Jordan-Henderson
14     /Players/68659/Show/Jordan-Henderson
15     /Players/68659/Show/Jordan-Henderson
16     /Players/68659/Show/Jordan-Henderson
17     /Players/68659/Show/Jordan-Henderson
18     /Players/68659/Show/Jordan-Henderson
19     /Players/68659/Show/Jordan-Henderson
20     /Players/68659/Show/Jordan-Henderson
21     /Players/68659/Show/Jordan-Henderson
22     /Players/68659/Show/Jordan-Henderson
23     /Players/68659/Show/Jordan-Henderson
24     /Players/68659/Show/Jordan-Henderson
25     /Players/68659/Show/Jordan-Henderson
26     /Players/68659/Show/Jordan-Henderson
27     /Players/68659/Show/Jordan-Henderson
28     /Players/68659/Show/Jordan-Henderson
29     /Players/68659/Show/Jordan-Henderson
                       ...                 
170    /Players/68659/Show/Jordan-Henderson
171    /Players/68659/Show/Jordan-Henderson
172    /Players/68659/Show/Jordan-Henderson
173    /Players/68659/Show/Jordan-Henderson
174    /Players/68659/Show/Jordan-Henderson
175    /Players/68659/Show/Jordan-Henderson
176    /Players/68659/Show/Jordan-Henderson
177    /Players/68659/Show/Jordan-Henderson
178    /Players/68659/Show/Jordan-Henderson
179    /Players/68659/Show/Jordan-Henderson
180    /Players/68659/Show/Jordan-Henderson
181    /Players/68659/Show/Jordan-Henderson
182    /Players/68659/Show/Jordan-Henderson
183    /Players/68659/Show/Jordan-Henderson
184    /Players/68659/Show/Jordan-Henderson
185    /Players/68659/Show/Jordan-Henderson
186    /Players/68659/Show/Jordan-Henderson
187    /Players/68659/Show/Jordan-Henderson
188    /Players/68659/Show/Jordan-Henderson
189    /Players/68659/Show/Jordan-Henderson
190    /Players/68659/Show/Jordan-Henderson
191    /Players/68659/Show/Jordan-Henderson
192    /Players/68659/Show/Jordan-Henderson
193    /Players/68659/Show/Jordan-Henderson
194    /Players/68659/Show/Jordan-Henderson
195    /Players/68659/Show/Jordan-Henderson
196    /Players/68659/Show/Jordan-Henderson
197    /Players/68659/Show/Jordan-Henderson
198    /Players/68659/Show/Jordan-Henderson
199    /Players/68659/Show/Jordan-Henderson
Name: Link, Length: 200, dtype: object",54.5,8.0,37.5
Shkodran Mustafi Arsenal,"0      /Players/80921/Show/Shkodran-Mustafi
1      /Players/80921/Show/Shkodran-Mustafi
2      /Players/80921/Show/Shkodran-Mustafi
3      /Players/80921/Show/Shkodran-Mustafi
4      /Players/80921/Show/Shkodran-Mustafi
5      /Players/80921/Show/Shkodran-Mustafi
6      /Players/80921/Show/Shkodran-Mustafi
7      /Players/80921/Show/Shkodran-Mustafi
8      /Players/80921/Show/Shkodran-Mustafi
9      /Players/80921/Show/Shkodran-Mustafi
10     /Players/80921/Show/Shkodran-Mustafi
11     /Players/80921/Show/Shkodran-Mustafi
12     /Players/80921/Show/Shkodran-Mustafi
13     /Players/80921/Show/Shkodran-Mustafi
14     /Players/80921/Show/Shkodran-Mustafi
15     /Players/80921/Show/Shkodran-Mustafi
16     /Players/80921/Show/Shkodran-Mustafi
17     /Players/80921/Show/Shkodran-Mustafi
18     /Players/80921/Show/Shkodran-Mustafi
19     /Players/80921/Show/Shkodran-Mustafi
20     /Players/80921/Show/Shkodran-Mustafi
21     /Players/80921/Show/Shkodran-Mustafi
22     /Players/80921/Show/Shkodran-Mustafi
23     /Players/80921/Show/Shkodran-Mustafi
24     /Players/80921/Show/Shkodran-Mustafi
25     /Players/80921/Show/Shkodran-Mustafi
26     /Players/80921/Show/Shkodran-Mustafi
27     /Players/80921/Show/Shkodran-Mustafi
28     /Players/80921/Show/Shkodran-Mustafi
29     /Players/80921/Show/Shkodran-Mustafi
                       ...                 
121    /Players/80921/Show/Shkodran-Mustafi
122    /Players/80921/Show/Shkodran-Mustafi
123    /Players/80921/Show/Shkodran-Mustafi
124    /Players/80921/Show/Shkodran-Mustafi
125    /Players/80921/Show/Shkodran-Mustafi
126    /Players/80921/Show/Shkodran-Mustafi
127    /Players/80921/Show/Shkodran-Mustafi
128    /Players/80921/Show/Shkodran-Mustafi
129    /Players/80921/Show/Shkodran-Mustafi
130    /Players/80921/Show/Shkodran-Mustafi
131    /Players/80921/Show/Shkodran-Mustafi
132    /Players/80921/Show/Shkodran-Mustafi
133    /Players/80921/Show/Shkodran-Mustafi
134    /Players/80921/Show/Shkodran-Mustafi
135    /Players/80921/Show/Shkodran-Mustafi
136    /Players/80921/Show/Shkodran-Mustafi
137    /Players/80921/Show/Shkodran-Mustafi
138    /Players/80921/Show/Shkodran-Mustafi
139    /Players/80921/Show/Shkodran-Mustafi
140    /Players/80921/Show/Shkodran-Mustafi
141    /Players/80921/Show/Shkodran-Mustafi
142    /Players/80921/Show/Shkodran-Mustafi
143    /Players/80921/Show/Shkodran-Mustafi
144    /Players/80921/Show/Shkodran-Mustafi
145    /Players/80921/Show/Shkodran-Mustafi
146    /Players/80921/Show/Shkodran-Mustafi
147    /Players/80921/Show/Shkodran-Mustafi
148    /Players/80921/Show/Shkodran-Mustafi
149    /Players/80921/Show/Shkodran-Mustafi
150    /Players/80921/Show/Shkodran-Mustafi
Name: Link, Length: 151, dtype: object",40.397350993377486,4.635761589403973,54.966887417218544
Tyrone Mings Aston Villa,"0     /Players/123167/Show/Tyrone-Mings
1     /Players/123167/Show/Tyrone-Mings
2     /Players/123167/Show/Tyrone-Mings
3     /Players/123167/Show/Tyrone-Mings
4     /Players/123167/Show/Tyrone-Mings
5     /Players/123167/Show/Tyrone-Mings
6     /Players/123167/Show/Tyrone-Mings
7     /Players/123167/Show/Tyrone-Mings
8     /Players/123167/Show/Tyrone-Mings
9     /Players/123167/Show/Tyrone-Mings
10    /Players/123167/Show/Tyrone-Mings
11    /Players/123167/Show/Tyrone-Mings
12    /Players/123167/Show/Tyrone-Mings
13    /Players/123167/Show/Tyrone-Mings
14    /Players/123167/Show/Tyrone-Mings
15    /Players/123167/Show/Tyrone-Mings
16    /Players/123167/Show/Tyrone-Mings
17    /Players/123167/Show/Tyrone-Mings
18    /Players/123167/Show/Tyrone-Mings
19    /Players/123167/Show/Tyrone-Mings
20    /Players/123167/Show/Tyrone-Mings
21    /Players/123167/Show/Tyrone-Mings
22    /Players/123167/Show/Tyrone-Mings
23    /Players/123167/Show/Tyrone-Mings
24    /Players/123167/Show/Tyrone-Mings
25    /Players/123167/Show/Tyrone-Mings
26    /Players/123167/Show/Tyrone-Mings
27    /Players/123167/Show/Tyrone-Mings
28    /Players/123167/Show/Tyrone-Mings
29    /Players/123167/Show/Tyrone-Mings
30    /Players/123167/Show/Tyrone-Mings
Name: Link, dtype: object",45.16129032258065,0.0,54.83870967741935
Jake Cooper Millwall,"0     /Players/235842/Show/Jake-Cooper
1     /Players/235842/Show/Jake-Cooper
2     /Players/235842/Show/Jake-Cooper
3     /Players/235842/Show/Jake-Cooper
4     /Players/235842/Show/Jake-Cooper
5     /Players/235842/Show/Jake-Cooper
6     /Players/235842/Show/Jake-Cooper
7     /Players/235842/Show/Jake-Cooper
8     /Players/235842/Show/Jake-Cooper
9     /Players/235842/Show/Jake-Cooper
10    /Players/235842/Show/Jake-Cooper
11    /Players/235842/Show/Jake-Cooper
12    /Players/235842/Show/Jake-Cooper
13    /Players/235842/Show/Jake-Cooper
14    /Players/235842/Show/Jake-Cooper
15    /Players/235842/Show/Jake-Cooper
16    /Players/235842/Show/Jake-Cooper
17    /Players/235842/Show/Jake-Cooper
18    /Players/235842/Show/Jake-Cooper
19    /Players/235842/Show/Jake-Cooper
20    /Players/235842/Show/Jake-Cooper
21    /Players/235842/Show/Jake-Cooper
Name: Link, dtype: object",27.272727272727273,9.090909090909092,63.636363636363626
Julian Gressel Atlanta United,"0     /Players/334566/Show/Julian-Gressel
1     /Players/334566/Show/Julian-Gressel
2     /Players/334566/Show/Julian-Gressel
3     /Players/334566/Show/Julian-Gressel
4     /Players/334566/Show/Julian-Gressel
5     /Players/334566/Show/Julian-Gressel
6     /Players/334566/Show/Julian-Gressel
7     /Players/334566/Show/Julian-Gressel
8     /Players/334566/Show/Julian-Gressel
9     /Players/334566/Show/Julian-Gressel
10    /Players/334566/Show/Julian-Gressel
11    /Players/334566/Show/Julian-Gressel
12    /Players/334566/Show/Julian-Gressel
13    /Players/334566/Show/Julian-Gressel
14    /Players/334566/Show/Julian-Gressel
15    /Players/334566/Show/Julian-Gressel
16    /Players/334566/Show/Julian-Gressel
17    /Players/334566/Show/Julian-Gressel
18    /Players/334566/Show/Julian-Gressel
Name: Link, dtype: object",47.36842105263158,15.789473684210526,36.84210526315789
John McGinn Aston Villa,"0     /Players/318449/Show/John-McGinn
1     /Players/318449/Show/John-McGinn
2     /Players/318449/Show/John-McGinn
3     /Players/318449/Show/John-McGinn
4     /Players/318449/Show/John-McGinn
5     /Players/318449/Show/John-McGinn
6     /Players/318449/Show/John-McGinn
7     /Players/318449/Show/John-McGinn
8     /Players/318449/Show/John-McGinn
9     /Players/318449/Show/John-McGinn
10    /Players/318449/Show/John-McGinn
11    /Players/318449/Show/John-McGinn
12    /Players/318449/Show/John-McGinn
13    /Players/318449/Show/John-McGinn
14    /Players/318449/Show/John-McGinn
15    /Players/318449/Show/John-McGinn
16    /Players/318449/Show/John-McGinn
Name: Link, dtype: object",41.1764705882353,5.882352941176471,52.94117647058823
Gwion Edwards Ipswich,"0     /Players/103835/Show/Gwion-Edwards
1     /Players/103835/Show/Gwion-Edwards
2     /Players/103835/Show/Gwion-Edwards
3     /Players/103835/Show/Gwion-Edwards
4     /Players/103835/Show/Gwion-Edwards
5     /Players/103835/Show/Gwion-Edwards
6     /Players/103835/Show/Gwion-Edwards
7     /Players/103835/Show/Gwion-Edwards
8     /Players/103835/Show/Gwion-Edwards
9     /Players/103835/Show/Gwion-Edwards
10    /Players/103835/Show/Gwion-Edwards
11    /Players/103835/Show/Gwion-Edwards
Name: Link, dtype: object",16.666666666666668,0.0,83.33333333333333
