link,search,results
/max-clark/profil/spieler/183291,Max+Clark+Vitesse,1290000
/sergio-postigo/profil/spieler/158791,Sergio+Postigo+Levante,173000
/stanislav-iljutcenko/profil/spieler/191292,Stanislav+Iljutcenko+Duisburg,67900
/ivan-marcone/profil/spieler/90451,Iván+Marcone+Boca+Juniors,183000
/florent-mollet/profil/spieler/222859,Florent+Mollet+Montpellier,190000
/juanpe/profil/spieler/115333,Juanpe+Girona,196000
/alban-lafont/profil/spieler/357117,Alban+Lafont+Fiorentina,112000
/bruno-viana/profil/spieler/411838,Bruno+Viana+Braga,7860000
/emil-audero/profil/spieler/256339,Emil+Audero+Sampdoria,119000
/christian-gentner/profil/spieler/19112,Christian+Gentner+VfB+Stuttgart,245000
/jordan-archer/profil/spieler/177952,Jordan+Archer+Millwall,169000
/afonso-figueiredo/profil/spieler/237000,Afonso+Figueiredo+Rio+Ave,300000
/everton-luiz/profil/spieler/75076,Everton+Luiz+Real+Salt+Lake,180000
/trent-alexander-arnold/profil/spieler/314353,Trent+Alexander-Arnold+Liverpool,5430000
/dominique-badji/profil/spieler/354840,Dominique+Badji+FC+Dallas,46400
/shkodran-mustafi/profil/spieler/88590,Shkodran+Mustafi+Arsenal,1640000
/lazar-rosic/profil/spieler/198053,Lazar+Rosic+Nacional,27500
/matheus-cunha/profil/spieler/517894,Matheus+Cunha+RasenBallsport+Leipzig,206000
/orji-okwonkwo/profil/spieler/401935,Orji+Okwonkwo+Montreal+Impact,71100
/gwion-edwards/profil/spieler/192766,Gwion+Edwards+Ipswich,34600
/abdullah-durak/profil/spieler/82713,Abdullah+Durak+Rizespor,123000
/ricardo-ryller/profil/spieler/349443,Ricardo+Ryller+Braga,29200
/elson-hooi/profil/spieler/229228,Elson+Hooi+ADO+Den+Haag,45500
/evgeni-chernov/profil/spieler/187024,Evgeni+Chernov+FC+Rostov,31200
/warner-hahn/profil/spieler/111180,Warner+Hahn+SC+Heerenveen,94500
/alex-blanco/profil/spieler/328914,Álex+Blanco+Deportivo+Alaves,789000
/julian-gressel/profil/spieler/229640,Julian+Gressel+Atlanta+United,110000
/domenico-criscito/profil/spieler/44136,Domenico+Criscito+Genoa,126000
/alexander-milosevic/profil/spieler/171376,Alexander+Milosevic+Nottingham+Forest,91200
/jordan-lefort/profil/spieler/192492,Jordan+Lefort+Amiens,78000
/fernando-zampedri/profil/spieler/104006,Fernando+Zampedri+Rosario+Central,113000
