league,link,teams
Primera División (ARG),/club-atletico-velez-sarsfield/startseite/verein/1029,Club Atlético Vélez Sarsfield
Primera División (ARG),/club-atletico-san-lorenzo-de-almagro/startseite/verein/1775,Club Atlético San Lorenzo de Almagro
Primera División (ARG),/talleres-de-cordoba-ca/startseite/verein/3938,Club Atlético Talleres
Primera División (ARG),/club-deportivo-godoy-cruz/startseite/verein/12574,Club Deportivo Godoy Cruz Antonio Tomba
Primera División (ARG),/club-atletico-lanus/startseite/verein/333,Club Atlético Lanús
Primera División (ARG),/club-atletico-rosario-central/startseite/verein/1418,Club Atlético Rosario Central
Primera División (ARG),/club-atletico-colon-santa-fe-/startseite/verein/1070,Club Atlético Colón
Primera División (ARG),/club-atletico-huracan/startseite/verein/2063,Club Atlético Huracán
Primera División (ARG),/argentinos-juniors/startseite/verein/1030,Asociación Atlética Argentinos Juniors
Primera División (ARG),/ca-union-santa-fe/startseite/verein/7097,Club Atlético Unión (Santa Fe)
Primera División (ARG),/belgrano-de-cordoba/startseite/verein/2417,Club Atlético Belgrano
Primera División (ARG),/club-atletico-banfield/startseite/verein/830,Club Atlético Banfield
Primera División (ARG),/club-atletico-aldosivi-mdp-/startseite/verein/12301,Club Atlético Aldosivi
Primera División (ARG),/club-atletico-newells-old-boys/startseite/verein/1286,Club Atlético Newell's Old Boys
Primera División (ARG),/estudiantes-de-la-plata/startseite/verein/288,Club Estudiantes de La Plata
Primera División (ARG),/club-de-gimnasia-y-esgrima-la-plata/startseite/verein/1106,Club de Gimnasia y Esgrima La Plata
Primera División (ARG),/club-atletico-tucuman/startseite/verein/14554,Club Atlético Tucumán
Primera División (ARG),/club-atletico-san-martin-sj-/startseite/verein/10511,Club Atlético San Martín (SJ)
Primera División (ARG),/club-atletico-san-martin-tucuman-/startseite/verein/12709,Club Atlético San Martín (Tucumán)
Primera División (ARG),/club-atletico-patronato/startseite/verein/19806,Club Atlético Patronato
Primera División (ARG),/racing-club-de-avellaneda/startseite/verein/1444,Racing Club
Primera División (ARG),/club-atletico-tigre/startseite/verein/11831,Club Atlético Tigre
Primera División (ARG),/defensa-y-justicia/startseite/verein/2402,Defensa y Justicia
Primera División (ARG),/club-atletico-river-plate/startseite/verein/209,Club Atlético River Plate
Primera División (ARG),/ca-independiente-de-avellaneda/startseite/verein/1234,Club Atlético Independiente
Primera División (ARG),/club-atletico-boca-juniors/startseite/verein/189,Club Atlético Boca Juniors
Premier League (ENG),/manchester-united/startseite/verein/985,Manchester United
Premier League (ENG),/fc-everton/startseite/verein/29,Everton FC
Premier League (ENG),/west-ham-united/startseite/verein/379,West Ham United
Premier League (ENG),/crystal-palace/startseite/verein/873,Crystal Palace
Premier League (ENG),/afc-bournemouth/startseite/verein/989,AFC Bournemouth
Premier League (ENG),/fc-fulham/startseite/verein/931,Fulham FC
Premier League (ENG),/wolverhampton-wanderers/startseite/verein/543,Wolverhampton Wanderers
Premier League (ENG),/fc-southampton/startseite/verein/180,Southampton FC
Premier League (ENG),/newcastle-united/startseite/verein/762,Newcastle United
Premier League (ENG),/fc-watford/startseite/verein/1010,Watford FC
Premier League (ENG),/brighton-amp-hove-albion/startseite/verein/1237,Brighton &amp; Hove Albion
Premier League (ENG),/fc-burnley/startseite/verein/1132,Burnley FC
Premier League (ENG),/huddersfield-town/startseite/verein/1110,Huddersfield Town
Premier League (ENG),/cardiff-city/startseite/verein/603,Cardiff City
Premier League (ENG),/fc-arsenal/startseite/verein/11,Arsenal FC
Premier League (ENG),/leicester-city/startseite/verein/1003,Leicester City
Premier League (ENG),/fc-liverpool/startseite/verein/31,Liverpool FC
Premier League (ENG),/tottenham-hotspur/startseite/verein/148,Tottenham Hotspur
Premier League (ENG),/fc-chelsea/startseite/verein/631,Chelsea FC
Premier League (ENG),/manchester-city/startseite/verein/281,Manchester City
Liga NOS (POR),/vitoria-guimaraes-sc/startseite/verein/2420,Vitória Guimarães SC
Liga NOS (POR),/rio-ave-fc/startseite/verein/2425,Rio Ave FC
Liga NOS (POR),/portimonense-sc/startseite/verein/7378,Portimonense SC
Liga NOS (POR),/gd-chaves/startseite/verein/3325,GD Chaves
Liga NOS (POR),/cs-maritimo/startseite/verein/1301,CS Marítimo
Liga NOS (POR),/boavista-porto-fc/startseite/verein/2503,Boavista Porto FC
Liga NOS (POR),/moreirense-fc/startseite/verein/979,Moreirense FC
Liga NOS (POR),/cd-tondela/startseite/verein/7179,CD Tondela
Liga NOS (POR),/cf-belenenses-lissabon/startseite/verein/2457,Belenenses SAD
Liga NOS (POR),/cd-santa-clara/startseite/verein/2423,CD Santa Clara
