league,links,teams
Primera División (ARG),/Teams/901/Show/Argentina-Estudiantes,Estudiantes
Primera División (ARG),/Teams/5595/Show/Argentina-San-Martin-de-Tucuman,San Martin de Tucuman
Primera División (ARG),/Teams/891/Show/Argentina-Colon,Colon
Primera División (ARG),/Teams/4736/Show/Argentina-San-Martin-San-Juan,San Martin San Juan
Primera División (ARG),/Teams/906/Show/Argentina-San-Lorenzo,San Lorenzo
Primera División (ARG),/Teams/896/Show/Argentina-Gimnasia-LP,Gimnasia LP
Primera División (ARG),/Teams/892/Show/Argentina-Union,Union
Primera División (ARG),/Teams/1303/Show/Argentina-Banfield,Banfield
Primera División (ARG),/Teams/902/Show/Argentina-Newells-Old-Boys,Newells Old Boys
Primera División (ARG),/Teams/895/Show/Argentina-Velez-Sarsfield,Velez Sarsfield
Primera División (ARG),/Teams/899/Show/Argentina-Lanus,Lanus
Primera División (ARG),/Teams/6145/Show/Argentina-Aldosivi,Aldosivi
Primera División (ARG),/Teams/889/Show/Argentina-Boca-Juniors,Boca Juniors
Primera División (ARG),/Teams/898/Show/Argentina-Huracan,Huracan
Primera División (ARG),/Teams/6148/Show/Argentina-Atletico-Tucuman,Atletico Tucuman
Primera División (ARG),/Teams/903/Show/Argentina-Rosario-Central,Rosario Central
Primera División (ARG),/Teams/897/Show/Argentina-Independiente,Independiente
Primera División (ARG),/Teams/9310/Show/Argentina-Patronato-de-Parana,Patronato de Parana
Primera División (ARG),/Teams/907/Show/Argentina-Argentinos-Juniors,Argentinos Juniors
Primera División (ARG),/Teams/894/Show/Argentina-Belgrano,Belgrano
Primera División (ARG),/Teams/3802/Show/Argentina-Godoy-Cruz,Godoy Cruz
Primera División (ARG),/Teams/893/Show/Argentina-Talleres,Talleres
Primera División (ARG),/Teams/905/Show/Argentina-River-Plate,River Plate
Primera División (ARG),/Teams/4735/Show/Argentina-Tigre,Tigre
Primera División (ARG),/Teams/890/Show/Argentina-Racing-Club,Racing Club
Primera División (ARG),/Teams/6147/Show/Argentina-Defensa-y-Justicia,Defensa y Justicia
Premier League (ENG),/Teams/31/Show/England-Everton,Everton
Premier League (ENG),/Teams/184/Show/England-Burnley,Burnley
Premier League (ENG),/Teams/183/Show/England-Bournemouth,Bournemouth
Premier League (ENG),/Teams/30/Show/England-Tottenham,Tottenham
Premier League (ENG),/Teams/29/Show/England-West-Ham,West Ham
Premier League (ENG),/Teams/18/Show/England-Southampton,Southampton
Premier League (ENG),/Teams/161/Show/England-Wolverhampton-Wanderers,Wolverhampton Wanderers
Premier League (ENG),/Teams/170/Show/England-Fulham,Fulham
Premier League (ENG),/Teams/188/Show/Wales-Cardiff,Cardiff
Premier League (ENG),/Teams/162/Show/England-Crystal-Palace,Crystal Palace
Premier League (ENG),/Teams/23/Show/England-Newcastle-United,Newcastle United
Premier League (ENG),/Teams/26/Show/England-Liverpool,Liverpool
Premier League (ENG),/Teams/15/Show/England-Chelsea,Chelsea
Premier League (ENG),/Teams/27/Show/England-Watford,Watford
Premier League (ENG),/Teams/166/Show/England-Huddersfield,Huddersfield
Premier League (ENG),/Teams/32/Show/England-Manchester-United,Manchester United
Premier League (ENG),/Teams/13/Show/England-Arsenal,Arsenal
Premier League (ENG),/Teams/211/Show/England-Brighton,Brighton
Premier League (ENG),/Teams/167/Show/England-Manchester-City,Manchester City
Premier League (ENG),/Teams/14/Show/England-Leicester,Leicester
Premier League (ENG),/Teams/167/Show/England-Man-City,Man City
Premier League (ENG),/Teams/32/Show/England-Man-Utd,Man Utd
Premier League (ENG),/Teams/161/Show/England-Wolves,Wolves
Liga NOS (POR),/Teams/108/Show/Portugal-Moreirense,Moreirense
Liga NOS (POR),/Teams/121/Show/Portugal-Rio-Ave,Rio Ave
Liga NOS (POR),/Teams/2187/Show/Portugal-Feirense,Feirense
Liga NOS (POR),/Teams/2008/Show/Portugal-Chaves,Chaves
Liga NOS (POR),/Teams/264/Show/Portugal-Maritimo,Maritimo
Liga NOS (POR),/Teams/288/Show/Portugal-Braga,Braga
Liga NOS (POR),/Teams/299/Show/Portugal-Benfica,Benfica
Liga NOS (POR),/Teams/1463/Show/Portugal-Portimonense,Portimonense
Liga NOS (POR),/Teams/297/Show/Portugal-FC-Porto,FC Porto
Liga NOS (POR),/Teams/785/Show/Portugal-Aves,Aves
Liga NOS (POR),/Teams/8071/Show/Portugal-Tondela,Tondela
Liga NOS (POR),/Teams/251/Show/Portugal-Santa-Clara,Santa Clara
Liga NOS (POR),/Teams/292/Show/Portugal-Belenenses-SAD,Belenenses SAD
Liga NOS (POR),/Teams/296/Show/Portugal-Sporting-CP,Sporting CP
Liga NOS (POR),/Teams/107/Show/Portugal-Vitoria-de-Guimaraes,Vitoria de Guimaraes
Liga NOS (POR),/Teams/936/Show/Portugal-Nacional,Nacional
Liga NOS (POR),/Teams/122/Show/Portugal-Boavista,Boavista
Liga NOS (POR),/Teams/298/Show/Portugal-Vitoria-de-Setubal,Vitoria de Setubal
Liga NOS (POR),/Teams/297/Show/Portugal-Porto,Porto
Liga NOS (POR),/Teams/296/Show/Portugal-Sporting,Sporting
Super Lig (TUR),/Teams/5732/Show/Turkey-Yeni-Malatyaspor,Yeni Malatyaspor
Super Lig (TUR),/Teams/3475/Show/Turkey-Kasimpasa,Kasimpasa
Super Lig (TUR),/Teams/2006/Show/Turkey-Konyaspor,Konyaspor
Super Lig (TUR),/Teams/294/Show/Turkey-Galatasaray,Galatasaray
Super Lig (TUR),/Teams/2003/Show/Turkey-Sivasspor,Sivasspor
Super Lig (TUR),/Teams/2201/Show/Turkey-Istanbul-Basaksehir,Istanbul Basaksehir
Super Lig (TUR),/Teams/293/Show/Turkey-Ankaragucu,Ankaragucu
Super Lig (TUR),/Teams/750/Show/Turkey-Rizespor,Rizespor
Super Lig (TUR),/Teams/10533/Show/Turkey-Erzurum-BB,Erzurum BB
Super Lig (TUR),/Teams/221/Show/Turkey-Bursaspor,Bursaspor
Super Lig (TUR),/Teams/223/Show/Turkey-Fenerbahce,Fenerbahce
Super Lig (TUR),/Teams/5729/Show/Turkey-Akhisarspor,Akhisarspor
Super Lig (TUR),/Teams/254/Show/Turkey-Goztepe,Goztepe
Super Lig (TUR),/Teams/227/Show/Turkey-Antalyaspor,Antalyaspor
Super Lig (TUR),/Teams/133/Show/Turkey-Besiktas,Besiktas
Super Lig (TUR),/Teams/226/Show/Turkey-Trabzonspor,Trabzonspor
Super Lig (TUR),/Teams/3473/Show/Turkey-Alanyaspor,Alanyaspor
Super Lig (TUR),/Teams/2200/Show/Turkey-Kayserispor,Kayserispor
Serie A (ITA),/Teams/300/Show/Italy-Atalanta,Atalanta
Serie A (ITA),/Teams/86/Show/Italy-Udinese,Udinese
Serie A (ITA),/Teams/73/Show/Italy-Fiorentina,Fiorentina
Serie A (ITA),/Teams/2889/Show/Italy-Sassuolo,Sassuolo
Serie A (ITA),/Teams/87/Show/Italy-Juventus,Juventus
Serie A (ITA),/Teams/72/Show/Italy-Torino,Torino
Serie A (ITA),/Teams/267/Show/Italy-Chievo,Chievo
Serie A (ITA),/Teams/1502/Show/Italy-SPAL-2013,SPAL 2013
Serie A (ITA),/Teams/75/Show/Italy-Inter,Inter
Serie A (ITA),/Teams/272/Show/Italy-Empoli,Empoli
Serie A (ITA),/Teams/2732/Show/Italy-Frosinone,Frosinone
Serie A (ITA),/Teams/77/Show/Italy-Lazio,Lazio
Serie A (ITA),/Teams/24341/Show/Italy-Parma-Calcio-1913,Parma Calcio 1913
Serie A (ITA),/Teams/271/Show/Italy-Sampdoria,Sampdoria
Serie A (ITA),/Teams/278/Show/Italy-Genoa,Genoa
Serie A (ITA),/Teams/84/Show/Italy-Roma,Roma
Serie A (ITA),/Teams/276/Show/Italy-Napoli,Napoli
Serie A (ITA),/Teams/78/Show/Italy-Cagliari,Cagliari
Serie A (ITA),/Teams/80/Show/Italy-AC-Milan,AC Milan
Serie A (ITA),/Teams/71/Show/Italy-Bologna,Bologna
Eredivise (NET),/Teams/287/Show/Netherlands-SC-Heerenveen,SC Heerenveen
Eredivise (NET),/Teams/783/Show/Netherlands-NAC-Breda,NAC Breda
Eredivise (NET),/Teams/256/Show/Netherlands-Feyenoord,Feyenoord
Eredivise (NET),/Teams/764/Show/Netherlands-ADO-Den-Haag,ADO Den Haag
Eredivise (NET),/Teams/243/Show/Netherlands-AZ-Alkmaar,AZ Alkmaar
Eredivise (NET),/Teams/129/Show/Netherlands-PSV-Eindhoven,PSV Eindhoven
Eredivise (NET),/Teams/115/Show/Netherlands-Willem-II,Willem II
Eredivise (NET),/Teams/875/Show/Netherlands-FC-Emmen,FC Emmen
Eredivise (NET),/Teams/868/Show/Netherlands-PEC-Zwolle,PEC Zwolle
Eredivise (NET),/Teams/765/Show/Netherlands-VVV-Venlo,VVV-Venlo
Eredivise (NET),/Teams/130/Show/Netherlands-Ajax,Ajax
Eredivise (NET),/Teams/128/Show/Netherlands-FC-Utrecht,FC Utrecht
Eredivise (NET),/Teams/870/Show/Netherlands-Heracles,Heracles
Eredivise (NET),/Teams/867/Show/Netherlands-Excelsior,Excelsior
Eredivise (NET),/Teams/255/Show/Netherlands-Vitesse,Vitesse
Eredivise (NET),/Teams/257/Show/Netherlands-De-Graafschap,De Graafschap
Eredivise (NET),/Teams/758/Show/Netherlands-FC-Groningen,FC Groningen
Eredivise (NET),/Teams/242/Show/Netherlands-Fortuna-Sittard,Fortuna Sittard
Championship (ENG),/Teams/192/Show/England-Millwall,Millwall
Championship (ENG),/Teams/182/Show/England-Bristol-City,Bristol City
Championship (ENG),/Teams/259/Show/Wales-Swansea,Swansea
Championship (ENG),/Teams/20/Show/England-Derby,Derby
Championship (ENG),/Teams/174/Show/England-Nottingham-Forest,Nottingham Forest
Championship (ENG),/Teams/92/Show/England-Bolton,Bolton
Championship (ENG),/Teams/94/Show/England-Reading,Reading
Championship (ENG),/Teams/157/Show/England-Birmingham,Birmingham
Championship (ENG),/Teams/210/Show/England-Rotherham,Rotherham
Championship (ENG),/Teams/21/Show/England-Middlesbrough,Middlesbrough
Championship (ENG),/Teams/25/Show/England-Sheffield-Wednesday,Sheffield Wednesday
Championship (ENG),/Teams/171/Show/England-Queens-Park-Rangers,Queens Park Rangers
Championship (ENG),/Teams/96/Show/England-Stoke,Stoke
Championship (ENG),/Teams/163/Show/England-Sheffield-United,Sheffield United
Championship (ENG),/Teams/194/Show/England-Wigan,Wigan
Championship (ENG),/Teams/24/Show/England-Aston-Villa,Aston Villa
Championship (ENG),/Teams/168/Show/England-Norwich,Norwich
Championship (ENG),/Teams/158/Show/England-Blackburn,Blackburn
Championship (ENG),/Teams/189/Show/England-Brentford,Brentford
Championship (ENG),/Teams/181/Show/England-Preston,Preston
Championship (ENG),/Teams/175/Show/England-West-Bromwich-Albion,West Bromwich Albion
Championship (ENG),/Teams/214/Show/England-Hull,Hull
Championship (ENG),/Teams/165/Show/England-Ipswich,Ipswich
Championship (ENG),/Teams/19/Show/England-Leeds,Leeds
Championship (ENG),/Teams/171/Show/England-QPR,QPR
Championship (ENG),/Teams/25/Show/England-Sheff-Wed,Sheff Wed
Championship (ENG),/Teams/175/Show/England-West-Brom,West Brom
Championship (ENG),/Teams/163/Show/England-Sheff-Utd,Sheff Utd
La Liga (SPA),/Teams/54/Show/Spain-Real-Betis,Real Betis
La Liga (SPA),/Teams/70/Show/Spain-Espanyol,Espanyol
La Liga (SPA),/Teams/67/Show/Spain-Sevilla,Sevilla
La Liga (SPA),/Teams/825/Show/Spain-Leganes,Leganes
La Liga (SPA),/Teams/832/Show/Spain-Levante,Levante
La Liga (SPA),/Teams/64/Show/Spain-Rayo-Vallecano,Rayo Vallecano
La Liga (SPA),/Teams/63/Show/Spain-Atletico-Madrid,Atletico Madrid
La Liga (SPA),/Teams/60/Show/Spain-Deportivo-Alaves,Deportivo Alaves
La Liga (SPA),/Teams/68/Show/Spain-Real-Sociedad,Real Sociedad
La Liga (SPA),/Teams/62/Show/Spain-Celta-Vigo,Celta Vigo
La Liga (SPA),/Teams/65/Show/Spain-Barcelona,Barcelona
La Liga (SPA),/Teams/819/Show/Spain-Getafe,Getafe
La Liga (SPA),/Teams/2783/Show/Spain-Girona,Girona
La Liga (SPA),/Teams/824/Show/Spain-Eibar,Eibar
La Liga (SPA),/Teams/52/Show/Spain-Real-Madrid,Real Madrid
La Liga (SPA),/Teams/839/Show/Spain-Villarreal,Villarreal
La Liga (SPA),/Teams/58/Show/Spain-Real-Valladolid,Real Valladolid
La Liga (SPA),/Teams/53/Show/Spain-Athletic-Bilbao,Athletic Bilbao
La Liga (SPA),/Teams/5006/Show/Spain-SD-Huesca,SD Huesca
La Liga (SPA),/Teams/55/Show/Spain-Valencia,Valencia
La Liga (SPA),/Teams/63/Show/Spain-Atletico,Atletico
Premier Liga (RUS),/Teams/5460/Show/Russia-FC-Orenburg,FC Orenburg
Premier Liga (RUS),/Teams/8753/Show/Russia-Arsenal-Tula,Arsenal Tula
Premier Liga (RUS),/Teams/840/Show/Russia-Spartak-Moscow,Spartak Moscow
Premier Liga (RUS),/Teams/2057/Show/Russia-Rubin-Kazan,Rubin Kazan
Premier Liga (RUS),/Teams/4640/Show/Russia-FC-Yenisey-Krasnoyarsk,FC Yenisey Krasnoyarsk
Premier Liga (RUS),/Teams/1002/Show/Russia-Anzhi-Makhachkala,Anzhi Makhachkala
Premier Liga (RUS),/Teams/4174/Show/Russia-Ural,Ural
Premier Liga (RUS),/Teams/2407/Show/Russia-FK-Akhmat,FK Akhmat
Premier Liga (RUS),/Teams/560/Show/Russia-Zenit-St-Petersburg,Zenit St. Petersburg
Premier Liga (RUS),/Teams/668/Show/Russia-Lokomotiv-Moscow,Lokomotiv Moscow
Premier Liga (RUS),/Teams/997/Show/Russia-Krylya-Sovetov-Samara,Krylya Sovetov Samara
Premier Liga (RUS),/Teams/9004/Show/Russia-FC-Ufa,FC Ufa
Premier Liga (RUS),/Teams/847/Show/Russia-CSKA-Moscow,CSKA Moscow
Premier Liga (RUS),/Teams/846/Show/Russia-Dinamo-Moscow,Dinamo Moscow
Premier Liga (RUS),/Teams/562/Show/Russia-FC-Rostov,FC Rostov
Premier Liga (RUS),/Teams/7164/Show/Russia-FC-Krasnodar,FC Krasnodar
Premier Liga (RUS),/Teams/560/Show/Russia-Zenit,Zenit
Premier Liga (RUS),/Teams/1002/Show/Russia-Anzhi,Anzhi
Bundesliga (GER),/Teams/219/Show/Germany-Mainz-05,Mainz 05
Bundesliga (GER),/Teams/7614/Show/Germany-RasenBallsport-Leipzig,RasenBallsport Leipzig
Bundesliga (GER),/Teams/33/Show/Germany-Wolfsburg,Wolfsburg
Bundesliga (GER),/Teams/137/Show/Germany-Nuernberg,Nuernberg
Bundesliga (GER),/Teams/37/Show/Germany-Bayern-Munich,Bayern Munich
Bundesliga (GER),/Teams/110/Show/Germany-Hannover-96,Hannover 96
Bundesliga (GER),/Teams/134/Show/Germany-Borussia-M-Gladbach,Borussia M.Gladbach
Bundesliga (GER),/Teams/1211/Show/Germany-Hoffenheim,Hoffenheim
Bundesliga (GER),/Teams/47/Show/Germany-Hertha-Berlin,Hertha Berlin
Bundesliga (GER),/Teams/41/Show/Germany-VfB-Stuttgart,VfB Stuttgart
Bundesliga (GER),/Teams/42/Show/Germany-Werder-Bremen,Werder Bremen
Bundesliga (GER),/Teams/44/Show/Germany-Borussia-Dortmund,Borussia Dortmund
Bundesliga (GER),/Teams/39/Show/Germany-Schalke-04,Schalke 04
Bundesliga (GER),/Teams/1730/Show/Germany-Augsburg,Augsburg
