link,player,team
/Players/26428/Show/Kei-Kamara,Kei Kamara,Colorado Rapids
/Players/72738/Show/Danny-Wilson,Danny Wilson,Colorado Rapids
/Players/13776/Show/Benny-Feilhaber,Benny Feilhaber,Colorado Rapids
/Players/97070/Show/Diego-Rubio,Diego Rubio,Colorado Rapids
/Players/126909/Show/Kellyn-Acosta,Kellyn Acosta,Colorado Rapids
/Players/313022/Show/Keegan-Rosenberry,Keegan Rosenberry,Colorado Rapids
/Players/361862/Show/Cole-Bassett,Cole Bassett,Colorado Rapids
/Players/372647/Show/Sebastian-Anderson,Sebastian Anderson,Colorado Rapids
/Players/143477/Show/Nicolás-Mezquida,Nicolás Mezquida,Colorado Rapids
/Players/371033/Show/Andre-Shinyashiki,Andre Shinyashiki,Colorado Rapids
/Players/354258/Show/Deklan-Wynne,Deklan Wynne,Colorado Rapids
/Players/126744/Show/Dillon-Serna,Dillon Serna,Colorado Rapids
/Players/105891/Show/Jack-Price,Jack Price,Colorado Rapids
/Players/365211/Show/Sam-Vines,Sam Vines,Colorado Rapids
/Players/5582/Show/Tim-Howard,Tim Howard,Colorado Rapids
/Players/354259/Show/Niki-Jackson,Niki Jackson,Colorado Rapids
/Players/36469/Show/Tommy-Smith,Tommy Smith,Colorado Rapids
/Players/270583/Show/Axel-Sjöberg,Axel Sjöberg,Colorado Rapids
/Players/126723/Show/Kofi-Opare,Kofi Opare,Colorado Rapids
/Players/341672/Show/Sam-Nicholson,Sam Nicholson,Colorado Rapids
/Players/73492/Show/Johan-Blomberg,Johan Blomberg,Colorado Rapids
/tim-howard/profil/spieler/4267,T. Howard,Colorado Rapids
/andre-rawls/profil/spieler/354887,A. Rawls,Colorado Rapids
/danny-wilson/profil/spieler/103819,D. Wilson,Colorado Rapids
/lalas-abubakar/profil/spieler/482611,L. Abubakar,Colorado Rapids
/axel-sjoberg/profil/spieler/113116,A. Sjöberg,Colorado Rapids
/kofi-opare/profil/spieler/256357,K. Opare,Colorado Rapids
/kortne-ford/profil/spieler/480719,K. Ford,Colorado Rapids
